model,domain,alpha
Claude-Opus-4.6,Neuroticism,0.8607246995895474
Claude-Sonnet-4.6,Neuroticism,0.7688589821045395
DeepSeek-V3.2,Neuroticism,0.7569470439720604
DeepSeek-V4-Flash,Neuroticism,0.7376124744046043
DeepSeek-V4-Pro,Neuroticism,0.801928540680155
GLM-4.6V,Neuroticism,0.6813007389447351
GPT-5.5,Neuroticism,0.8040353123616915
GPT_5.2,Neuroticism,0.8145390083803448
Gemini-3-Flash-Preview,Neuroticism,0.8225114637972945
Gemini-3.1-Flash-Lite,Neuroticism,0.0
Gemini-3.1-Pro-Preview,Neuroticism,0.8380239658417887
Gemini_3-Pro-Preview,Neuroticism,0.8455749532037045
Kimi-K2.5,Neuroticism,0.7771645909463794
Kimi-K2.6,Neuroticism,0.7803026663463848
MiniMax-M2.7,Neuroticism,0.8015200625908125
Qwen3-235B-A22B,Neuroticism,0.7800719439419457
Qwen3.5-122B-A10B,Neuroticism,0.799088174683784
Qwen3.5-397B-A17B,Neuroticism,0.8069069780149724
Claude-Opus-4.6,Extraversion,0.9275965398315147
Claude-Sonnet-4.6,Extraversion,0.9413130813645969
DeepSeek-V3.2,Extraversion,0.9373788461270273
DeepSeek-V4-Flash,Extraversion,0.9114861663511142
DeepSeek-V4-Pro,Extraversion,0.9199503176036565
GLM-4.6V,Extraversion,0.9142197752065229
GPT-5.5,Extraversion,0.9328453901492116
GPT_5.2,Extraversion,0.9104221278134321
Gemini-3-Flash-Preview,Extraversion,0.9140833685703964
Gemini-3.1-Flash-Lite,Extraversion,0.915577215431212
Gemini-3.1-Pro-Preview,Extraversion,0.9217360750404839
Gemini_3-Pro-Preview,Extraversion,0.930749565335067
Kimi-K2.5,Extraversion,0.9298095285443979
Kimi-K2.6,Extraversion,0.9330110621806385
MiniMax-M2.7,Extraversion,0.9357791786409567
Qwen3-235B-A22B,Extraversion,0.9229531723548324
Qwen3.5-122B-A10B,Extraversion,0.9214029811137158
Qwen3.5-397B-A17B,Extraversion,0.9204622094330291
Claude-Opus-4.6,Openness,0.2637167091761077
Claude-Sonnet-4.6,Openness,0.11111318535665621
DeepSeek-V3.2,Openness,0.4434503005731861
DeepSeek-V4-Flash,Openness,0.3382292961233764
DeepSeek-V4-Pro,Openness,0.2801947893159318
GLM-4.6V,Openness,0.21024289425282985
GPT-5.5,Openness,-0.11936659955379014
GPT_5.2,Openness,0.3261618329755902
Gemini-3-Flash-Preview,Openness,0.1737062503231142
Gemini-3.1-Flash-Lite,Openness,0.1378726492108603
Gemini-3.1-Pro-Preview,Openness,0.1661430511095035
Gemini_3-Pro-Preview,Openness,0.2042347065698501
Kimi-K2.5,Openness,0.18054793337978572
Kimi-K2.6,Openness,-0.02598636414440592
MiniMax-M2.7,Openness,0.029294162212214286
Qwen3-235B-A22B,Openness,0.4141580669050906
Qwen3.5-122B-A10B,Openness,0.10826572955998368
Qwen3.5-397B-A17B,Openness,0.22408186092756363
Claude-Opus-4.6,Agreeableness,0.32754679401579806
Claude-Sonnet-4.6,Agreeableness,0.04172079162527712
DeepSeek-V3.2,Agreeableness,0.6537880988319771
DeepSeek-V4-Flash,Agreeableness,0.17047738477659644
DeepSeek-V4-Pro,Agreeableness,0.3817894391473367
GLM-4.6V,Agreeableness,0.4871989092561732
GPT-5.5,Agreeableness,0.5651841764373733
GPT_5.2,Agreeableness,-0.06925483159145475
Gemini-3-Flash-Preview,Agreeableness,0.13364548494983278
Gemini-3.1-Flash-Lite,Agreeableness,0.0
Gemini-3.1-Pro-Preview,Agreeableness,-0.6949444911318501
Gemini_3-Pro-Preview,Agreeableness,-0.4795120425398813
Kimi-K2.5,Agreeableness,-0.4643138242609326
Kimi-K2.6,Agreeableness,-0.07474630806039097
MiniMax-M2.7,Agreeableness,-0.21382304143275993
Qwen3-235B-A22B,Agreeableness,0.21646480995702405
Qwen3.5-122B-A10B,Agreeableness,-0.18234792266954258
Qwen3.5-397B-A17B,Agreeableness,0.2870023687628944
Claude-Opus-4.6,Conscientiousness,0.49019525154978266
Claude-Sonnet-4.6,Conscientiousness,0.6767395590365033
DeepSeek-V3.2,Conscientiousness,0.6430088962176859
DeepSeek-V4-Flash,Conscientiousness,0.5177322413974905
DeepSeek-V4-Pro,Conscientiousness,0.6203012330929727
GLM-4.6V,Conscientiousness,0.4947515780642748
GPT-5.5,Conscientiousness,0.2971221304825084
GPT_5.2,Conscientiousness,0.5328207157799513
Gemini-3-Flash-Preview,Conscientiousness,0.545504739118432
Gemini-3.1-Flash-Lite,Conscientiousness,0.5466353959949485
Gemini-3.1-Pro-Preview,Conscientiousness,0.43107753274159516
Gemini_3-Pro-Preview,Conscientiousness,0.4331142804825944
Kimi-K2.5,Conscientiousness,0.6047284619096125
Kimi-K2.6,Conscientiousness,0.6330844546009731
MiniMax-M2.7,Conscientiousness,0.6454592410293805
Qwen3-235B-A22B,Conscientiousness,0.15948543913576502
Qwen3.5-122B-A10B,Conscientiousness,0.5034534812515131
Qwen3.5-397B-A17B,Conscientiousness,0.5257210156611472
