construct,domain_1,domain_2,r_delta,p_delta,n
Agreeableness_vs_Antagonism,IPIP-NEO-120::Agreeableness,SD3::Machiavellianism,0.7782273790962982,3.059036233925367e-53,256
Agreeableness_vs_Antagonism,IPIP-NEO-120::Agreeableness,SD3::Psychopathy,0.6801047886675172,4.152141742586819e-36,256
Agreeableness_vs_Antagonism,IPIP-NEO-120::Agreeableness,ZKPQ-50-CC::Aggression-Hostility,0.600254599308355,1.8893545924504362e-26,256
Agreeableness_vs_Antagonism,SD3::Machiavellianism,SD3::Psychopathy,0.4820254987858742,2.669469062587449e-16,256
Agreeableness_vs_Antagonism,SD3::Machiavellianism,ZKPQ-50-CC::Aggression-Hostility,0.4725001075096127,1.214080586843758e-15,256
Agreeableness_vs_Antagonism,SD3::Psychopathy,ZKPQ-50-CC::Aggression-Hostility,0.6909127059585658,1.1736312103699095e-37,256
Conscientiousness_vs_Disinhibition,EPQR-A::Psychoticism,IPIP-NEO-120::Conscientiousness,0.6783208427404703,7.371006032918617e-36,256
Conscientiousness_vs_Disinhibition,EPQR-A::Psychoticism,SD3::Psychopathy,0.6093160085814042,2.073615245291973e-27,256
Conscientiousness_vs_Disinhibition,EPQR-A::Psychoticism,ZKPQ-50-CC::Impulsive_Sensation_Seeking,0.7402989479145381,1.0609417553585365e-45,256
Conscientiousness_vs_Disinhibition,IPIP-NEO-120::Conscientiousness,SD3::Psychopathy,0.5720107242236637,1.2025294924902442e-23,256
Conscientiousness_vs_Disinhibition,IPIP-NEO-120::Conscientiousness,ZKPQ-50-CC::Impulsive_Sensation_Seeking,0.6060872676517529,4.5937679182118485e-27,256
Conscientiousness_vs_Disinhibition,SD3::Psychopathy,ZKPQ-50-CC::Impulsive_Sensation_Seeking,0.4312243411372816,5.124411885343131e-13,256
Extraversion,EPQR-A::Extraversion,IPIP-NEO-120::Extraversion,0.898364875830281,9.863348218253263e-93,256
Extraversion,EPQR-A::Extraversion,ZKPQ-50-CC::Activity,0.7519818221961515,7.067390796244809e-48,256
Extraversion,EPQR-A::Extraversion,ZKPQ-50-CC::Sociability,0.8989848579447006,4.723404876926944e-93,256
Extraversion,IPIP-NEO-120::Extraversion,ZKPQ-50-CC::Activity,0.8117075875357731,2.949710350919955e-61,256
Extraversion,IPIP-NEO-120::Extraversion,ZKPQ-50-CC::Sociability,0.866646191523708,1.1514824038461903e-78,256
Extraversion,ZKPQ-50-CC::Activity,ZKPQ-50-CC::Sociability,0.6965496550284619,1.7157201836477437e-38,256
Neuroticism,EPQR-A::Neuroticism,IPIP-NEO-120::Neuroticism,0.5592503503180237,1.8219306360705678e-22,256
Neuroticism,EPQR-A::Neuroticism,ZKPQ-50-CC::Neuroticism-Anxiety,0.7877614289072061,2.2473572448980423e-55,256
Neuroticism,IPIP-NEO-120::Neuroticism,ZKPQ-50-CC::Neuroticism-Anxiety,0.6098720176108967,1.806514183650706e-27,256
