model,nearest_z_euclidean,nearest_z_euclidean_distance,nearest_z_euclidean_margin,nearest_cosine,nearest_cosine_distance,nearest_cosine_margin,nearest_mahalanobis,nearest_mahalanobis_distance,nearest_mahalanobis_margin,empirical_EI_projection,theory_EI_projection,empirical_SN_projection,theory_SN_projection,empirical_TF_projection,theory_TF_projection,empirical_JP_projection,theory_JP_projection,default_empirical_axis_type,default_theory_axis_type
Claude-Opus-4.6,ISTP,0.987877882612356,0.05196455192142868,INTP,0.8808940457817614,0.019491171076105984,ENTJ,1.8057688554786233,0.048146948696955905,-0.25229139795972433,-0.29977580394993675,0.04815483543997389,0.2476112743182675,-0.04940851590876075,0.7083744470256566,0.09808458126907513,0.19160054455245318,INTJ,INFJ
Claude-Sonnet-4.6,ISFP,0.6979876733087914,0.020598189008556478,ISFP,0.35837647562637265,0.05739878990138414,ISFP,1.2237537976866866,0.011832975738557794,-1.6211060208842196,-1.558988191571975,0.5903660624063476,0.10682499187345115,0.6435892428029252,0.5698862865095402,-0.49213802601562406,0.17685499045907715,INFP,INFJ
DeepSeek-V3.2,ISFP,0.9544208258913813,0.06301859483865391,INFP,0.6119849500812129,0.009307436934182567,ISFP,1.761839043040607,0.02611922411162637,-0.6807954905609892,-0.47045303572891095,0.8271960636531077,0.3251560960628957,0.27622609282052596,-0.8465052971014478,-1.1895335981469108,-0.3383621258768319,INFP,INTP
DeepSeek-V4-Flash,ISFP,0.9365731737106914,0.08110912785292645,INFP,0.5414439530565944,0.12834825778795256,ENTJ,1.4903047084161118,0.030598764593125827,-0.24685286844897256,0.05827711989623041,1.436764156186146,1.045250636425565,0.8768957458104825,-0.004503412145924354,-0.9230124034067695,-0.29682757006323324,INFP,ENTP
DeepSeek-V4-Pro,ISFP,0.711902267265766,0.14813830933178795,INFP,0.3775852719804528,0.001879781354130472,ISFP,1.0632364559811982,0.10282099893126251,-1.0342275163577241,-0.6761743859351321,0.8843064186142516,0.38208853044571633,0.7489182725782043,-0.11302444915244247,-0.7575587130344117,-0.16368890818787513,INFP,INTP
GLM-4.6V,ISTP,0.7899385757691075,0.0007854877248274494,INTJ,0.6000904716016593,0.0343408841910966,INTP,1.274982406651311,0.07093918600707672,-0.40202310225894433,-0.2566472968908132,-0.4422585204374486,0.07885720126759159,-0.7442198409371475,0.03856082880811512,0.4524139361505245,0.6116295703604232,ISTJ,INFJ
GPT 5.2,INTP,0.8450027018678983,0.05234273534786815,INTP,0.6088911418886827,0.19052018994414088,INTP,1.4247740603533228,0.029426634704005528,-0.4491606249068859,-0.12367628526038099,-0.19004432189668213,-0.12790560383350263,-0.27449300476661964,-0.2695185833213256,-0.2902778272717198,0.5357565582200017,ISTP,ISTJ
GPT-5.5,ISTP,0.8447656797947846,0.0061928874660445166,ISTJ,0.5081427114452006,0.1549542684587868,INTP,1.1228079414740297,0.09259420805535634,-0.6518516624069027,-0.5452548356523924,-0.8830156642168032,-0.4102915588905978,-0.4325750250145811,1.0002902257223556,0.8636093728872672,0.8652630867259148,ISTJ,ISFJ
Gemini 3-Pro-Preview,ISTJ,0.9023281797848538,0.08938093287287496,ISTJ,0.44839933343084837,0.15365149477587747,ISFJ,1.6298501780246477,0.0188388866244682,-1.418978886918099,-0.9894961863176648,-0.8944239686944842,0.24912512548326365,-0.10247455237053354,1.8812183205352686,1.7829020434052174,1.5360744984874706,ISTJ,INFJ
Gemini-3-Flash-Preview,INTJ,0.6881170972588123,0.04048918748710406,ISTJ,0.39377691646618673,0.024297732125796,INTP,0.9642601915276542,0.14064342365257831,-1.143790124277357,-0.9224030889652489,-0.9167715737015133,-0.4736650829390089,-0.8202132197945772,0.4437031791710092,0.9535373714031173,0.8172518481173818,ISTJ,ISFJ
