model,mean_congruence,min_congruence
Claude-Opus-4.6,0.9931332766501072,0.988437822807084
Claude-Sonnet-4.6,0.9909689755589416,0.9883191356147398
DeepSeek-V3.2,0.9807897919896198,0.9758536693491073
DeepSeek-V4-Flash,0.9927492771358705,0.9899918710568016
DeepSeek-V4-Pro,0.9943700306157125,0.9938276492721384
GLM-4.6V,0.9971040739557603,0.9964884122467296
GPT-5.5,0.9954650725956363,0.9935983408474357
GPT_5.2,0.9938168586327917,0.992462244340186
Gemini-3-Flash-Preview,0.9918474026557874,0.9841117745262374
Gemini-3.1-Flash-Lite,0.9915146228533024,0.98832328117653
Gemini-3.1-Pro-Preview,0.9924283760650728,0.9909726859476886
Gemini_3-Pro-Preview,0.9933949394052215,0.9920904259279669
Kimi-K2.5,0.9941505332383542,0.9916553291681581
Kimi-K2.6,0.9947727811536162,0.9934085409489346
MiniMax-M2.7,0.9935502274897002,0.9901197291509077
Qwen3-235B-A22B,0.9880839362246405,0.9844603803710139
Qwen3.5-122B-A10B,0.9915229193813776,0.9781309961220463
Qwen3.5-397B-A17B,0.9929382180009961,0.9914654323786535
glm-4.7,0.9957634281646213,0.9935118685547921
glm-5.1,0.9963690597656969,0.9955173985997917
