item_id,scale,domain,facet,keyed,response_format,item_text,n_valid_pairs,mean_abs_raw_delta,mean_abs_scored_delta,value_change_rate,directional_flip_rate,mean_raw_delta,mean_scored_delta,default_mean_raw,persona_mean_raw,dark_or_antisocial_flag,safety_sensitive_flag,ai_self_or_embodied_flag,plasticity_class,plasticity_rank
epqr_005,EPQR-A,Psychoticism,,+,yes_no,Do you sometimes talk about things you know nothing about?,320,0.6268750000000001,0.6268750000000001,0.709375,0.634375,-0.6131249999999999,-0.6131249999999999,0.9800000000000001,0.366875,True,False,False,plastic,1
epqr_002,EPQR-A,Psychoticism,,+,yes_no,Do you prefer to go your own way rather than act by the rules?,320,0.600625,0.600625,0.703125,0.609375,0.505625,0.505625,0.12000000000000002,0.625625,True,False,False,plastic,2
zkpq_002,ZKPQ-50-CC,Activity,,+,true_false,I lead a busier life than most people.,320,0.599375,0.599375,0.7,0.60625,0.5643750000000001,0.5643750000000001,0.04,0.6043750000000001,False,False,False,plastic,3
epqr_019,EPQR-A,Lie,,+,yes_no,"If you say you will do something, do you always keep your promise no matter how inconvenient it might be?",320,0.5675000000000001,0.5675000000000001,0.665625,0.575,0.5449999999999999,0.5449999999999999,0.030000000000000006,0.575,False,False,False,plastic,4
zkpq_005,ZKPQ-50-CC,Activity,,-,true_false,I do not feel the need to be doing things all of the time.,320,0.5650000000000001,0.5650000000000001,0.6125,0.56875,-0.505,0.505,0.9400000000000001,0.43499999999999994,False,False,True,plastic,5
zkpq_006,ZKPQ-50-CC,Activity,,+,true_false,When on vacation I like to engage in active sports rather than just lie around.,320,0.531875,0.531875,0.665625,0.5375,0.376875,0.376875,0.26999999999999996,0.646875,False,False,False,plastic,6
zkpq_046,ZKPQ-50-CC,Sociability,,-,true_false,I would not mind being socially isolated in some place for some period of time.,320,0.526875,0.526875,0.60625,0.5375,-0.375625,0.375625,0.8300000000000001,0.4543749999999999,False,False,False,plastic,7
zkpq_003,ZKPQ-50-CC,Activity,,+,true_false,I like to be doing things all of the time.,320,0.5175,0.5175,0.65625,0.509375,0.375,0.375,0.16,0.5349999999999999,False,False,False,plastic,8
zkpq_009,ZKPQ-50-CC,Activity,,+,true_false,I like to keep busy all the time.,320,0.51625,0.51625,0.61875,0.5125,0.38499999999999995,0.38499999999999995,0.21999999999999997,0.605,False,False,False,plastic,9
zkpq_037,ZKPQ-50-CC,Neuroticism-Anxiety,,+,true_false,I often worry about things that other people think are unimportant.,320,0.51,0.51,0.59375,0.521875,0.18124999999999997,0.18124999999999997,0.32,0.50125,False,False,False,plastic,10
