item_id,variance,mean,scale,domain,keyed,item_text
ipip_001,1.4933333333333325,2.1,IPIP-NEO-120,Neuroticism,+,Worry about things
ipip_002,0.35466666666666663,2.75,IPIP-NEO-120,Extraversion,+,Make friends easily
ipip_003,1.1211666666666669,4.0375,IPIP-NEO-120,Openness,+,Have a vivid imagination
ipip_004,0.14249999999999996,3.5375,IPIP-NEO-120,Agreeableness,+,Trust others
ipip_005,0.19716666666666663,4.5125,IPIP-NEO-120,Conscientiousness,+,Complete tasks successfully
ipip_006,0.6878333333333333,1.6875,IPIP-NEO-120,Neuroticism,+,Get angry easily
ipip_007,0.11200000000000004,2.8,IPIP-NEO-120,Extraversion,+,Love large parties
ipip_008,0.31983333333333364,4.6875,IPIP-NEO-120,Openness,+,Believe in the importance of art
ipip_009,0.10650000000000008,1.1125,IPIP-NEO-120,Agreeableness,-,Use others for my own ends
ipip_010,0.25850000000000006,3.3875,IPIP-NEO-120,Conscientiousness,+,Like to tidy up
ipip_011,0.8358333333333332,1.8625,IPIP-NEO-120,Neuroticism,+,Often feel blue
ipip_012,0.3798333333333335,3.6375,IPIP-NEO-120,Extraversion,+,Take charge
ipip_013,2.2713333333333328,2.125,IPIP-NEO-120,Openness,+,Experience my emotions intensely
ipip_014,0.14866666666666645,4.725,IPIP-NEO-120,Agreeableness,+,Love to help others
ipip_015,0.24516666666666645,4.5125,IPIP-NEO-120,Conscientiousness,+,Keep my promises
ipip_016,0.8265,2.2875,IPIP-NEO-120,Neuroticism,+,Find it difficult to approach others
ipip_017,0.7199999999999996,2.5,IPIP-NEO-120,Extraversion,+,Am always busy
ipip_018,0.4666666666666666,3.55,IPIP-NEO-120,Openness,+,Prefer variety to routine
ipip_019,0.5966666666666665,1.975,IPIP-NEO-120,Agreeableness,-,Love a good fight
ipip_020,0.28095833333333337,4.26875,IPIP-NEO-120,Conscientiousness,+,Work hard
ipip_021,0.6393333333333332,1.575,IPIP-NEO-120,Neuroticism,+,Go on binges
ipip_022,0.506,3.375,IPIP-NEO-120,Extraversion,+,Love excitement
ipip_023,0.46516666666666673,4.2375,IPIP-NEO-120,Openness,+,Love to read challenging material
ipip_024,0.3386666666666667,1.55,IPIP-NEO-120,Agreeableness,-,Believe that I am better than others
ipip_025,0.3353333333333332,3.925,IPIP-NEO-120,Conscientiousness,+,Have excellent ideas
ipip_026,0.6691666666666667,1.8125,IPIP-NEO-120,Neuroticism,+,Panic easily
ipip_027,0.41066666666666674,3.8,IPIP-NEO-120,Extraversion,+,Radiate joy
ipip_028,0.37695833333333334,3.26875,IPIP-NEO-120,Openness,+,Tend to vote for liberal political candidates
ipip_029,0.2362777777777777,4.579166666666667,IPIP-NEO-120,Agreeableness,+,Sympathize with the homeless
ipip_030,0.5558333333333333,2.0375,IPIP-NEO-120,Conscientiousness,-,Rush into things
ipip_031,0.7066666666666667,2.15,IPIP-NEO-120,Neuroticism,+,Fear for the worst
ipip_032,0.17066666666666658,3.4,IPIP-NEO-120,Extraversion,+,Feel comfortable around people
