held_out_model,n_factors_kaiser,eigenvalue_diff_mean,first_eigenvalue
Claude-Opus-4.6,3,0.008971552696267149,6.968976351437809
Claude-Sonnet-4.6,3,0.016028718825042733,6.934374020569058
DeepSeek-V3.2,3,0.02218215494577731,7.007218735571055
DeepSeek-V4-Flash,3,0.006681286207013182,6.960649192845784
DeepSeek-V4-Pro,3,0.006800873958819809,6.966538613826787
GLM-4.6V,3,0.0074647215327661165,6.951818894681408
GPT-5.5,3,0.00593216703413435,6.94815623773411
GPT_5.2,3,0.007960389931134215,6.974680128464792
Gemini-3-Flash-Preview,3,0.008393521635706502,6.9433752845560806
Gemini-3.1-Flash-Lite,3,0.011144677359618127,6.964078930474284
Gemini-3.1-Pro-Preview,3,0.014076772302538565,6.943525560372989
Gemini_3-Pro-Preview,3,0.015303623762854346,6.940335706736775
Kimi-K2.5,3,0.007367342114269371,6.943979898098551
Kimi-K2.6,3,0.007453859613770586,6.94734336261539
MiniMax-M2.7,3,0.0057094289897745565,6.963497773587622
Qwen3-235B-A22B,3,0.015293568432033089,6.978500897828181
Qwen3.5-122B-A10B,3,0.021716250050468268,6.982101593624506
Qwen3.5-397B-A17B,3,0.008514391340469541,6.960962753743651
glm-4.7,3,0.0061137858430426965,6.966165389781848
glm-5.1,3,0.01134832094107081,6.936675606548524
