,EPQR-A::Psychoticism,EPQR-A::Extraversion,EPQR-A::Neuroticism,EPQR-A::Lie,IPIP-NEO-120::Neuroticism,IPIP-NEO-120::Extraversion,IPIP-NEO-120::Openness,IPIP-NEO-120::Agreeableness,IPIP-NEO-120::Conscientiousness,SD3::Machiavellianism,SD3::Narcissism,SD3::Psychopathy,ZKPQ-50-CC::Activity,ZKPQ-50-CC::Aggression-Hostility,ZKPQ-50-CC::Impulsive_Sensation_Seeking,ZKPQ-50-CC::Neuroticism-Anxiety,ZKPQ-50-CC::Sociability
Claude-Opus-4.6,0.1667,0.4667,0.0,0.0667,1.3167,3.2083,3.6833,4.4083,4.2333,2.3333,2.7778,1.1111,0.5,0.5,0.54,0.54,0.38
Claude-Sonnet-4.6,0.1667,0.3333,0.1667,0.0667,2.15,2.65,3.5583,4.075,3.825,2.1111,2.8,1.6364,0.04,0.36,0.36,0.64,0.1
DeepSeek-V3.2,0.1667,0.5,0.0,0.2333,3.15,3.4083,3.75,3.7667,3.7833,2.8667,2.9556,2.5333,0.46,0.32,0.66,0.8,0.16
DeepSeek-V4-Flash,0.3,0.6,0.2667,0.1667,2.75,3.8417,4.375,4.0333,4.575,2.8,2.9333,1.5556,0.54,0.34,0.82,0.64,0.26
DeepSeek-V4-Pro,0.2,0.4667,0.2667,0.1667,2.6667,3.2333,3.8,3.9833,3.9667,2.7333,2.6889,1.8,0.4,0.34,0.6,0.74,0.16
GLM-4.6V,0.1667,0.8667,0.0,0.3667,2.0,3.0083,3.5417,4.2,4.025,2.9111,2.8,1.7778,0.16,0.3,0.18,0.06,0.42
GPT-5.5,0.1667,0.6667,0.0,0.3333,1.7,2.925,3.1,4.225,3.9833,2.2444,3.0889,1.4667,0.16,0.18,0.0,0.0,0.4
GPT_5.2,0.1667,0.6667,0.0,0.3333,3.0083,3.1917,3.35,3.9,3.55,2.5556,2.8222,2.3778,0.2,0.3,0.0,0.1,0.6
Gemini-3-Flash-Preview,0.1667,0.3667,0.0,0.3667,1.8833,2.8,3.05,3.8833,3.9333,2.7556,3.0,1.3182,0.14,0.12,0.0,0.02,0.44
Gemini-3.1-Flash-Lite,0.1667,0.3333,0.0,0.3333,2.9664,3.0917,3.8667,3.7731,3.75,2.6667,3.0,2.9545,0.2,0.26,0.06,0.1,0.54
Gemini-3.1-Pro-Preview,0.1667,0.3333,0.0,0.3333,1.0667,2.6583,3.6167,4.6,4.85,2.1111,2.4444,1.0,0.28,0.1,0.0,0.0,0.4
Gemini_3-Pro-Preview,0.1667,0.4,0.0,0.3667,1.05,2.6583,3.6917,4.6,4.875,2.1778,2.4222,1.0,0.16,0.06,0.0,0.0,0.4
Kimi-K2.5,0.1667,0.4,0.0,0.3333,1.375,2.5083,3.1333,4.2083,4.05,2.2444,2.6889,1.4667,0.1,0.16,0.0,0.0,0.38
Kimi-K2.6,0.1667,0.3333,0.0,0.3333,1.3667,2.4333,3.1167,4.175,3.9583,2.2889,2.6222,1.4222,0.1,0.16,0.0,0.0,0.4
MiniMax-M2.7,0.1667,0.7,0.0,0.3333,1.8417,3.0667,3.2333,4.05,4.1667,2.6,3.1778,2.0222,0.14,0.32,0.1,0.08,0.4
Qwen3-235B-A22B,0.3333,0.5,0.5333,0.0,2.8083,3.55,4.375,4.3833,4.375,2.5556,3.2222,1.8889,0.6,0.62,0.9,0.72,0.36
