actual_persona,predicted_persona,count,rate
ISTJ,ISTJ,18,1.0
ISTJ,ISFJ,0,0.0
ISTJ,INFJ,0,0.0
ISTJ,INTJ,0,0.0
ISTJ,ISTP,0,0.0
ISTJ,ISFP,0,0.0
ISTJ,INFP,0,0.0
ISTJ,INTP,0,0.0
ISTJ,ESTP,0,0.0
ISTJ,ESFP,0,0.0
ISTJ,ENFP,0,0.0
ISTJ,ENTP,0,0.0
ISTJ,ESTJ,0,0.0
ISTJ,ESFJ,0,0.0
ISTJ,ENFJ,0,0.0
ISTJ,ENTJ,0,0.0
ISFJ,ISTJ,0,0.0
ISFJ,ISFJ,17,0.9444444444444444
ISFJ,INFJ,1,0.05555555555555555
ISFJ,INTJ,0,0.0
ISFJ,ISTP,0,0.0
ISFJ,ISFP,0,0.0
ISFJ,INFP,0,0.0
ISFJ,INTP,0,0.0
ISFJ,ESTP,0,0.0
ISFJ,ESFP,0,0.0
ISFJ,ENFP,0,0.0
ISFJ,ENTP,0,0.0
ISFJ,ESTJ,0,0.0
ISFJ,ESFJ,0,0.0
ISFJ,ENFJ,0,0.0
ISFJ,ENTJ,0,0.0
INFJ,ISTJ,0,0.0
INFJ,ISFJ,0,0.0
INFJ,INFJ,18,1.0
INFJ,INTJ,0,0.0
INFJ,ISTP,0,0.0
INFJ,ISFP,0,0.0
INFJ,INFP,0,0.0
INFJ,INTP,0,0.0
INFJ,ESTP,0,0.0
INFJ,ESFP,0,0.0
INFJ,ENFP,0,0.0
INFJ,ENTP,0,0.0
INFJ,ESTJ,0,0.0
INFJ,ESFJ,0,0.0
INFJ,ENFJ,0,0.0
INFJ,ENTJ,0,0.0
INTJ,ISTJ,0,0.0
INTJ,ISFJ,0,0.0
INTJ,INFJ,0,0.0
INTJ,INTJ,18,1.0
INTJ,ISTP,0,0.0
INTJ,ISFP,0,0.0
INTJ,INFP,0,0.0
INTJ,INTP,0,0.0
INTJ,ESTP,0,0.0
INTJ,ESFP,0,0.0
INTJ,ENFP,0,0.0
INTJ,ENTP,0,0.0
INTJ,ESTJ,0,0.0
INTJ,ESFJ,0,0.0
INTJ,ENFJ,0,0.0
INTJ,ENTJ,0,0.0
ISTP,ISTJ,0,0.0
ISTP,ISFJ,0,0.0
ISTP,INFJ,0,0.0
ISTP,INTJ,0,0.0
ISTP,ISTP,18,1.0
ISTP,ISFP,0,0.0
ISTP,INFP,0,0.0
ISTP,INTP,0,0.0
ISTP,ESTP,0,0.0
ISTP,ESFP,0,0.0
ISTP,ENFP,0,0.0
ISTP,ENTP,0,0.0
ISTP,ESTJ,0,0.0
ISTP,ESFJ,0,0.0
ISTP,ENFJ,0,0.0
ISTP,ENTJ,0,0.0
ISFP,ISTJ,0,0.0
ISFP,ISFJ,0,0.0
ISFP,INFJ,0,0.0
ISFP,INTJ,0,0.0
ISFP,ISTP,0,0.0
ISFP,ISFP,18,1.0
ISFP,INFP,0,0.0
ISFP,INTP,0,0.0
ISFP,ESTP,0,0.0
ISFP,ESFP,0,0.0
ISFP,ENFP,0,0.0
ISFP,ENTP,0,0.0
ISFP,ESTJ,0,0.0
ISFP,ESFJ,0,0.0
ISFP,ENFJ,0,0.0
ISFP,ENTJ,0,0.0
INFP,ISTJ,0,0.0
INFP,ISFJ,0,0.0
INFP,INFJ,0,0.0
INFP,INTJ,0,0.0
INFP,ISTP,0,0.0
INFP,ISFP,0,0.0
INFP,INFP,18,1.0
INFP,INTP,0,0.0
INFP,ESTP,0,0.0
INFP,ESFP,0,0.0
INFP,ENFP,0,0.0
INFP,ENTP,0,0.0
INFP,ESTJ,0,0.0
INFP,ESFJ,0,0.0
INFP,ENFJ,0,0.0
INFP,ENTJ,0,0.0
INTP,ISTJ,0,0.0
INTP,ISFJ,0,0.0
INTP,INFJ,0,0.0
INTP,INTJ,0,0.0
INTP,ISTP,0,0.0
INTP,ISFP,0,0.0
INTP,INFP,0,0.0
INTP,INTP,18,1.0
INTP,ESTP,0,0.0
INTP,ESFP,0,0.0
INTP,ENFP,0,0.0
INTP,ENTP,0,0.0
INTP,ESTJ,0,0.0
INTP,ESFJ,0,0.0
INTP,ENFJ,0,0.0
INTP,ENTJ,0,0.0
ESTP,ISTJ,0,0.0
ESTP,ISFJ,0,0.0
ESTP,INFJ,0,0.0
ESTP,INTJ,0,0.0
ESTP,ISTP,0,0.0
ESTP,ISFP,0,0.0
ESTP,INFP,0,0.0
ESTP,INTP,0,0.0
ESTP,ESTP,18,1.0
ESTP,ESFP,0,0.0
ESTP,ENFP,0,0.0
ESTP,ENTP,0,0.0
ESTP,ESTJ,0,0.0
ESTP,ESFJ,0,0.0
ESTP,ENFJ,0,0.0
ESTP,ENTJ,0,0.0
ESFP,ISTJ,0,0.0
ESFP,ISFJ,0,0.0
ESFP,INFJ,0,0.0
ESFP,INTJ,0,0.0
ESFP,ISTP,0,0.0
ESFP,ISFP,0,0.0
ESFP,INFP,0,0.0
ESFP,INTP,0,0.0
ESFP,ESTP,0,0.0
ESFP,ESFP,18,1.0
ESFP,ENFP,0,0.0
ESFP,ENTP,0,0.0
ESFP,ESTJ,0,0.0
ESFP,ESFJ,0,0.0
ESFP,ENFJ,0,0.0
ESFP,ENTJ,0,0.0
ENFP,ISTJ,0,0.0
ENFP,ISFJ,0,0.0
ENFP,INFJ,0,0.0
ENFP,INTJ,0,0.0
ENFP,ISTP,0,0.0
ENFP,ISFP,0,0.0
ENFP,INFP,0,0.0
ENFP,INTP,0,0.0
ENFP,ESTP,0,0.0
ENFP,ESFP,0,0.0
ENFP,ENFP,18,1.0
ENFP,ENTP,0,0.0
ENFP,ESTJ,0,0.0
ENFP,ESFJ,0,0.0
ENFP,ENFJ,0,0.0
ENFP,ENTJ,0,0.0
ENTP,ISTJ,0,0.0
ENTP,ISFJ,0,0.0
ENTP,INFJ,0,0.0
ENTP,INTJ,0,0.0
ENTP,ISTP,0,0.0
ENTP,ISFP,0,0.0
ENTP,INFP,0,0.0
ENTP,INTP,0,0.0
ENTP,ESTP,0,0.0
ENTP,ESFP,0,0.0
ENTP,ENFP,0,0.0
ENTP,ENTP,18,1.0
ENTP,ESTJ,0,0.0
ENTP,ESFJ,0,0.0
ENTP,ENFJ,0,0.0
ENTP,ENTJ,0,0.0
ESTJ,ISTJ,0,0.0
ESTJ,ISFJ,0,0.0
ESTJ,INFJ,0,0.0
ESTJ,INTJ,0,0.0
ESTJ,ISTP,0,0.0
ESTJ,ISFP,0,0.0
ESTJ,INFP,0,0.0
ESTJ,INTP,0,0.0
ESTJ,ESTP,0,0.0
ESTJ,ESFP,0,0.0
ESTJ,ENFP,0,0.0
ESTJ,ENTP,0,0.0
ESTJ,ESTJ,17,0.9444444444444444
ESTJ,ESFJ,0,0.0
ESTJ,ENFJ,0,0.0
ESTJ,ENTJ,1,0.05555555555555555
ESFJ,ISTJ,0,0.0
ESFJ,ISFJ,0,0.0
ESFJ,INFJ,0,0.0
ESFJ,INTJ,0,0.0
ESFJ,ISTP,0,0.0
ESFJ,ISFP,0,0.0
ESFJ,INFP,0,0.0
ESFJ,INTP,0,0.0
ESFJ,ESTP,0,0.0
ESFJ,ESFP,0,0.0
ESFJ,ENFP,0,0.0
ESFJ,ENTP,0,0.0
ESFJ,ESTJ,0,0.0
ESFJ,ESFJ,18,1.0
ESFJ,ENFJ,0,0.0
ESFJ,ENTJ,0,0.0
ENFJ,ISTJ,0,0.0
ENFJ,ISFJ,0,0.0
ENFJ,INFJ,0,0.0
ENFJ,INTJ,0,0.0
ENFJ,ISTP,0,0.0
ENFJ,ISFP,0,0.0
ENFJ,INFP,0,0.0
ENFJ,INTP,0,0.0
ENFJ,ESTP,0,0.0
ENFJ,ESFP,0,0.0
ENFJ,ENFP,0,0.0
ENFJ,ENTP,0,0.0
ENFJ,ESTJ,0,0.0
ENFJ,ESFJ,0,0.0
ENFJ,ENFJ,18,1.0
ENFJ,ENTJ,0,0.0
ENTJ,ISTJ,0,0.0
ENTJ,ISFJ,0,0.0
ENTJ,INFJ,0,0.0
ENTJ,INTJ,0,0.0
ENTJ,ISTP,0,0.0
ENTJ,ISFP,0,0.0
ENTJ,INFP,0,0.0
ENTJ,INTP,0,0.0
ENTJ,ESTP,0,0.0
ENTJ,ESFP,0,0.0
ENTJ,ENFP,0,0.0
ENTJ,ENTP,0,0.0
ENTJ,ESTJ,0,0.0
ENTJ,ESFJ,0,0.0
ENTJ,ENFJ,0,0.0
ENTJ,ENTJ,18,1.0
