subset,model,actual_persona,predicted_z_euclidean,distance_z_euclidean,margin_z_euclidean,correct_z_euclidean,predicted_cosine,distance_cosine,margin_cosine,correct_cosine,predicted_mahalanobis,distance_mahalanobis,margin_mahalanobis,correct_mahalanobis
all,Claude-Opus-4.6,ISTJ,ISTJ,0.4070557328152767,0.2785063509646711,True,ISTJ,0.09499234026770009,0.1933888303859187,True,ISTJ,0.820948676838985,0.22842292529058306,True
all,Claude-Opus-4.6,ISFJ,ISFJ,0.634208524516705,0.021666206760373563,True,ISFJ,0.17513318429391078,0.013371599387081878,True,ISFJ,1.1320003286660858,0.0702465945163715,True
all,Claude-Opus-4.6,INFJ,INFJ,0.36974637033405117,0.33122525014128706,True,INFJ,0.06286488141339386,0.15654841875157666,True,INFJ,0.7819062695954122,0.21167489374122006,True
all,Claude-Opus-4.6,INTJ,INTJ,0.4252174951416645,0.36508072760875676,True,INTJ,0.1368148294259658,0.2751634271117076,True,INTJ,1.0470208146464648,0.020501273868551717,True
all,Claude-Opus-4.6,ISTP,ISTP,0.25431308658487595,0.420860976177301,True,ISTP,0.042578100261934204,0.2690416037474941,True,ISTP,0.4325515973929933,0.3578988460242739,True
all,Claude-Opus-4.6,ISFP,ISFP,0.4551240604876612,0.04208516607250351,True,ISFP,0.09469326550641677,0.006325191974836053,True,ISFP,0.6781849673036799,0.1284295096232687,True
all,Claude-Opus-4.6,INFP,INFP,0.32048534616431584,0.3424523246645124,True,INFP,0.029488145379809927,0.10406612375386093,True,INFP,0.556490804749156,0.3352890262212619,True
all,Claude-Opus-4.6,INTP,INTP,0.358448291873562,0.2620462226399636,True,INTP,0.07988618476393095,0.1792916678882599,True,INTP,0.5785071869477892,0.2673300087916799,True
all,Claude-Opus-4.6,ESTP,ESTP,0.2604810822003124,0.2643048745448694,True,ESTP,0.0195877562689335,0.06310822863536591,True,ESTP,0.5499292042697616,0.22798979242316308,True
all,Claude-Opus-4.6,ESFP,ESFP,0.29307288311724333,0.32316079284431,True,ESFP,0.05486832948805187,0.14595368033285328,True,ESFP,0.43325088887360447,0.19219889000787,True
