subset,metric,top1_accuracy,mean_margin,n
all,z_euclidean,1.0,0.3317653127696143,256
all,cosine,0.99609375,0.1715062464434838,256
all,mahalanobis,0.9765625,0.2379226133941304,256
likert_only,z_euclidean,1.0,0.3953570035807774,256
likert_only,cosine,0.99609375,0.2133912030703343,256
likert_only,mahalanobis,0.96875,0.3068881484414861,256
binary_only,z_euclidean,0.90625,0.24132710917913164,256
binary_only,cosine,0.87109375,0.10561464653523002,256
binary_only,mahalanobis,0.87109375,0.23805861751506713,256
ipip_only,z_euclidean,0.99609375,0.475159526699361,256
ipip_only,cosine,0.9921875,0.24036113038533177,256
ipip_only,mahalanobis,0.9765625,0.4003096746128084,256
