model,scale,domain,pir,fwd_raw_mean,rev_raw_mean,fwd_scored_mean,rev_scored_mean,n_fwd,n_rev
Claude-Opus-4.6,EPQR-A,Extraversion,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,3,3
Claude-Opus-4.6,EPQR-A,Lie,0.25,0.25,1.0,0.25,0.0,4,2
Claude-Opus-4.6,IPIP-NEO-120,Agreeableness,0.24369747899159663,4.0,1.411764705882353,4.0,4.588235294117647,7,17
Claude-Opus-4.6,IPIP-NEO-120,Conscientiousness,0.058823529411764705,4.0588235294117645,1.4285714285714286,4.0588235294117645,4.571428571428571,17,7
Claude-Opus-4.6,IPIP-NEO-120,Extraversion,0.7619047619047619,3.238095238095238,3.0,3.238095238095238,3.0,21,3
Claude-Opus-4.6,IPIP-NEO-120,Neuroticism,0.05263157894736842,1.263157894736842,4.0,1.263157894736842,2.0,19,5
Claude-Opus-4.6,IPIP-NEO-120,Openness,0.5037037037037037,3.7333333333333334,2.0,3.7333333333333334,4.0,15,9
Claude-Opus-4.6,SD3,Narcissism,0.6666666666666666,2.3333333333333335,2.6666666666666665,2.3333333333333335,3.3333333333333335,6,3
Claude-Opus-4.6,SD3,Psychopathy,0.0,1.0,4.5,1.0,1.5,7,2
Claude-Opus-4.6,ZKPQ-50-CC,Activity,0.5,0.5,0.5,0.5,0.5,8,2
Claude-Opus-4.6,ZKPQ-50-CC,Aggression-Hostility,0.5238095238095238,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.3333333333333333,7,3
Claude-Opus-4.6,ZKPQ-50-CC,Neuroticism-Anxiety,0.5555555555555556,0.5555555555555556,1.0,0.5555555555555556,0.0,9,1
Claude-Opus-4.6,ZKPQ-50-CC,Sociability,0.16666666666666666,0.0,0.8333333333333334,0.0,0.16666666666666666,4,6
Claude-Sonnet-4.6,EPQR-A,Extraversion,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,3,3
Claude-Sonnet-4.6,EPQR-A,Lie,0.0,0.0,1.0,0.0,0.0,4,2
Claude-Sonnet-4.6,IPIP-NEO-120,Agreeableness,0.6218487394957983,3.4285714285714284,1.588235294117647,3.4285714285714284,4.411764705882353,7,17
Claude-Sonnet-4.6,IPIP-NEO-120,Conscientiousness,0.44537815126050423,3.6470588235294117,2.0,3.6470588235294117,4.0,17,7
Claude-Sonnet-4.6,IPIP-NEO-120,Extraversion,0.9841269841269841,2.4761904761904763,2.6666666666666665,2.4761904761904763,3.3333333333333335,21,3
Claude-Sonnet-4.6,IPIP-NEO-120,Neuroticism,1.0,1.7894736842105263,2.6,1.7894736842105263,3.4,19,5
Claude-Sonnet-4.6,IPIP-NEO-120,Openness,0.5851851851851851,3.4,1.8888888888888888,3.4,4.111111111111111,15,9
Claude-Sonnet-4.6,SD3,Narcissism,1.0,2.0,1.6666666666666667,2.0,4.333333333333333,6,3
Claude-Sonnet-4.6,SD3,Psychopathy,0.42857142857142855,1.3333333333333333,4.0,1.5714285714285714,2.0,7,2
Claude-Sonnet-4.6,ZKPQ-50-CC,Activity,0.0,0.0,1.0,0.0,0.0,8,2
Claude-Sonnet-4.6,ZKPQ-50-CC,Aggression-Hostility,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285,1.0,7,3
Claude-Sonnet-4.6,ZKPQ-50-CC,Neuroticism-Anxiety,0.4444444444444444,0.5555555555555556,0.0,0.5555555555555556,1.0,9,1
Claude-Sonnet-4.6,ZKPQ-50-CC,Sociability,0.0,0.0,1.0,0.0,0.0,4,6
DeepSeek-V3.2,EPQR-A,Extraversion,1.0,0.0,0.0,0.0,1.0,3,3
DeepSeek-V3.2,EPQR-A,Lie,0.5,0.0,0.5,0.0,0.5,4,2
DeepSeek-V3.2,IPIP-NEO-120,Agreeableness,0.5966386554621849,4.0,2.411764705882353,4.0,3.588235294117647,7,17
DeepSeek-V3.2,IPIP-NEO-120,Conscientiousness,0.453781512605042,3.8823529411764706,2.4285714285714284,3.8823529411764706,3.5714285714285716,17,7
DeepSeek-V3.2,IPIP-NEO-120,Extraversion,0.9523809523809523,3.7142857142857144,4.0,3.7142857142857144,2.0,21,3
DeepSeek-V3.2,IPIP-NEO-120,Neuroticism,0.8736842105263158,3.210526315789474,3.2,3.210526315789474,2.8,19,5
DeepSeek-V3.2,IPIP-NEO-120,Openness,0.6666666666666666,4.6,3.2222222222222223,4.6,2.7777777777777777,15,9
DeepSeek-V3.2,SD3,Narcissism,0.9444444444444444,3.1666666666666665,3.3333333333333335,3.1666666666666665,2.6666666666666665,6,3
DeepSeek-V3.2,SD3,Psychopathy,0.7857142857142857,2.7142857142857144,3.5,2.7142857142857144,2.5,7,2
DeepSeek-V3.2,ZKPQ-50-CC,Activity,0.5,0.5,1.0,0.5,0.0,8,2
DeepSeek-V3.2,ZKPQ-50-CC,Aggression-Hostility,0.5714285714285714,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.6666666666666666,7,3
DeepSeek-V3.2,ZKPQ-50-CC,Neuroticism-Anxiety,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,9,1
DeepSeek-V3.2,ZKPQ-50-CC,Sociability,0.5,0.5,1.0,0.5,0.0,4,6
DeepSeek-V4-Flash,EPQR-A,Extraversion,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,3,3
DeepSeek-V4-Flash,EPQR-A,Lie,0.5,0.0,0.5,0.0,0.5,4,2
DeepSeek-V4-Flash,IPIP-NEO-120,Agreeableness,0.3865546218487395,4.166666666666667,2.176470588235294,4.166666666666667,3.823529411764706,7,17
DeepSeek-V4-Flash,IPIP-NEO-120,Conscientiousness,0.18487394957983194,4.764705882352941,2.0,4.764705882352941,4.0,17,7
DeepSeek-V4-Flash,IPIP-NEO-120,Extraversion,0.4126984126984127,3.888888888888889,2.3333333333333335,3.888888888888889,3.6666666666666665,21,3
DeepSeek-V4-Flash,IPIP-NEO-120,Neuroticism,0.5473684210526316,3.0,4.0,3.0,2.0,19,5
DeepSeek-V4-Flash,IPIP-NEO-120,Openness,0.5481481481481482,4.857142857142857,2.6666666666666665,4.857142857142857,3.3333333333333335,15,9
DeepSeek-V4-Flash,SD3,Narcissism,0.6666666666666666,3.1666666666666665,3.3333333333333335,3.1666666666666665,2.6666666666666665,6,3
DeepSeek-V4-Flash,SD3,Psychopathy,0.2857142857142857,1.8571428571428572,5.0,1.8571428571428572,1.0,7,2
DeepSeek-V4-Flash,ZKPQ-50-CC,Activity,0.625,0.625,1.0,0.625,0.0,8,2
DeepSeek-V4-Flash,ZKPQ-50-CC,Aggression-Hostility,0.6190476190476191,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.6666666666666666,7,3
DeepSeek-V4-Flash,ZKPQ-50-CC,Neuroticism-Anxiety,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,0.0,9,1
DeepSeek-V4-Flash,ZKPQ-50-CC,Sociability,1.0,1.0,1.0,1.0,0.0,4,6
DeepSeek-V4-Pro,EPQR-A,Extraversion,1.0,0.0,0.0,0.0,1.0,3,3
DeepSeek-V4-Pro,EPQR-A,Lie,0.5,0.0,0.5,0.0,0.5,4,2
DeepSeek-V4-Pro,IPIP-NEO-120,Agreeableness,0.35294117647058826,4.0,1.8823529411764706,4.0,4.117647058823529,7,17
DeepSeek-V4-Pro,IPIP-NEO-120,Conscientiousness,0.3445378151260504,3.764705882352941,1.8571428571428572,3.764705882352941,4.142857142857143,17,7
DeepSeek-V4-Pro,IPIP-NEO-120,Extraversion,0.6825396825396826,3.1,3.3333333333333335,3.1,2.6666666666666665,21,3
DeepSeek-V4-Pro,IPIP-NEO-120,Neuroticism,0.47368421052631576,2.6842105263157894,4.0,2.6842105263157894,2.0,19,5
DeepSeek-V4-Pro,IPIP-NEO-120,Openness,0.6444444444444445,4.2,2.6666666666666665,4.2,3.3333333333333335,15,9
DeepSeek-V4-Pro,SD3,Narcissism,0.7222222222222222,2.5,3.0,2.5,3.0,6,3
DeepSeek-V4-Pro,SD3,Psychopathy,0.0,1.7142857142857142,4.0,1.7142857142857142,2.0,7,2
DeepSeek-V4-Pro,ZKPQ-50-CC,Activity,0.75,0.75,1.0,0.75,0.0,8,2
DeepSeek-V4-Pro,ZKPQ-50-CC,Aggression-Hostility,0.6190476190476191,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.6666666666666666,7,3
DeepSeek-V4-Pro,ZKPQ-50-CC,Neuroticism-Anxiety,1.0,1.0,1.0,1.0,0.0,9,1
DeepSeek-V4-Pro,ZKPQ-50-CC,Sociability,0.5,0.5,1.0,0.5,0.0,4,6
GLM-4.6V,EPQR-A,Extraversion,0.0,1.0,0.0,1.0,1.0,3,3
GLM-4.6V,EPQR-A,Lie,1.0,0.0,0.0,0.0,1.0,4,2
GLM-4.6V,IPIP-NEO-120,Agreeableness,0.2857142857142857,4.0,1.588235294117647,4.0,4.411764705882353,7,17
GLM-4.6V,IPIP-NEO-120,Conscientiousness,0.4957983193277311,3.823529411764706,2.0,3.823529411764706,4.0,17,7
GLM-4.6V,IPIP-NEO-120,Extraversion,0.9047619047619048,3.0476190476190474,3.6666666666666665,3.0476190476190474,2.3333333333333335,21,3
GLM-4.6V,IPIP-NEO-120,Neuroticism,0.7473684210526316,1.9473684210526316,3.0,1.9473684210526316,3.0,19,5
GLM-4.6V,IPIP-NEO-120,Openness,0.8,3.6666666666666665,2.4444444444444446,3.6666666666666665,3.5555555555555554,15,9
GLM-4.6V,SD3,Narcissism,0.9444444444444444,2.5,2.3333333333333335,2.5,3.6666666666666665,6,3
GLM-4.6V,SD3,Psychopathy,0.2857142857142857,2.0,4.5,2.0,1.5,7,2
GLM-4.6V,ZKPQ-50-CC,Activity,0.5,0.0,0.5,0.0,0.5,8,2
