model,persona,condition,scale,domain,agreement
Claude-Opus-4.6,Default,Default,EPQR-A,Extraversion,0.6000000000000001
Claude-Opus-4.6,Default,Default,EPQR-A,Lie,0.9
Claude-Opus-4.6,Default,Default,IPIP-NEO-120,Agreeableness,0.8457983193277312
Claude-Opus-4.6,Default,Default,IPIP-NEO-120,Conscientiousness,0.8504201680672268
Claude-Opus-4.6,Default,Default,IPIP-NEO-120,Extraversion,0.9404761904761905
Claude-Opus-4.6,Default,Default,IPIP-NEO-120,Neuroticism,0.8347368421052632
Claude-Opus-4.6,Default,Default,IPIP-NEO-120,Openness,0.9000000000000001
Claude-Opus-4.6,Default,Default,SD3,Narcissism,0.6916666666666667
Claude-Opus-4.6,Default,Default,SD3,Psychopathy,0.875
Claude-Opus-4.6,Default,Default,ZKPQ-50-CC,Activity,1.0
Claude-Opus-4.6,Default,Default,ZKPQ-50-CC,Aggression-Hostility,0.7619047619047619
Claude-Opus-4.6,Default,Default,ZKPQ-50-CC,Neuroticism-Anxiety,0.4
Claude-Opus-4.6,Default,Default,ZKPQ-50-CC,Sociability,0.8
Claude-Opus-4.6,ISTJ,MBTI,EPQR-A,Extraversion,1.0
Claude-Opus-4.6,ISTJ,MBTI,EPQR-A,Lie,0.95
Claude-Opus-4.6,ISTJ,MBTI,IPIP-NEO-120,Agreeableness,0.7025210084033614
Claude-Opus-4.6,ISTJ,MBTI,IPIP-NEO-120,Conscientiousness,0.9264705882352942
Claude-Opus-4.6,ISTJ,MBTI,IPIP-NEO-120,Extraversion,0.9214285714285715
Claude-Opus-4.6,ISTJ,MBTI,IPIP-NEO-120,Neuroticism,0.9526315789473684
Claude-Opus-4.6,ISTJ,MBTI,IPIP-NEO-120,Openness,0.8844444444444445
Claude-Opus-4.6,ISTJ,MBTI,SD3,Narcissism,0.9583333333333333
Claude-Opus-4.6,ISTJ,MBTI,SD3,Psychopathy,0.9821428571428572
