model,mean_pir,sdr_composite
Claude-Opus-4.6,0.3175554837319543,0.17511111111111108
Claude-Sonnet-4.6,0.4795494266082502,0.11314583333333333
DeepSeek-V3.2,0.47555152965369685,0.031520833333333345
DeepSeek-V4-Flash,0.3950216793870045,0.11974999999999997
DeepSeek-V4-Pro,0.3772849985698282,0.08579999999999997
GLM-4.6V,0.35726297266544943,0.08826944444444446
GPT-5.5,0.5174750129471491,0.11385138888888889
GPT_5.2,0.88123488711724,0.03337361111111108
Gemini-3-Flash-Preview,0.4445923443601462,0.08475277777777779
Gemini-3.1-Flash-Lite,0.6965878591652586,0.02078055555555549
Gemini-3.1-Pro-Preview,0.392723371399842,0.19502499999999992
Gemini_3-Pro-Preview,0.3346393258157964,0.19382500000000003
Kimi-K2.5,0.45195240489358135,0.12449861111111112
Kimi-K2.6,0.49966482319423494,0.12091111111111112
MiniMax-M2.7,0.3771651035582924,0.08742500000000003
Qwen3-235B-A22B,0.5364893190744584,0.12102500000000004
