strategy,domain,alpha,pir
Random,Neuroticism,0.07768533661253087,0.6863467492260061
Random,Extraversion,-0.013098478038828625,0.6743230625583567
Random,Openness,0.062198289527471785,0.6861437908496733
Random,Agreeableness,0.04418954145779086,0.6753583786455759
Random,Conscientiousness,-0.1080716031667344,0.6718734552644587
Pure Acquiescence,Neuroticism,0.016197782026220183,1.0
Pure Acquiescence,Extraversion,0.02514590053291973,1.0
Pure Acquiescence,Openness,-0.008275620844347664,1.0
Pure Acquiescence,Agreeableness,0.09602793938524799,1.0
Pure Acquiescence,Conscientiousness,-0.03125019371747854,1.0
Trait+Acquiescence,Neuroticism,0.9971885924599676,
Trait+Acquiescence,Extraversion,0.9981347734229734,
Trait+Acquiescence,Openness,0.9962078246496221,
Trait+Acquiescence,Agreeableness,0.996512075966112,
Trait+Acquiescence,Conscientiousness,0.9964657993368986,
LLM Observed,Neuroticism,0.8132395067874981,0.4489473684210526
LLM Observed,Extraversion,0.9282062997475428,0.8182539682539682
LLM Observed,Openness,0.1894177650089237,0.6411111111111112
LLM Observed,Agreeableness,0.0689530463822065,0.3483193277310924
LLM Observed,Conscientiousness,0.5350993579415688,0.22857142857142848
