scale,domain,mean_sd,mean_mode_agree,exact_agree_rate,n_items
EPQR-A,Extraversion,0.0144,0.9903,0.9675,1632
ZKPQ-50-CC,Sociability,0.0196,0.9876,0.9548,2720
EPQR-A,Psychoticism,0.0239,0.9849,0.9449,1632
EPQR-A,Neuroticism,0.0291,0.9812,0.9332,1632
ZKPQ-50-CC,Impulsive_Sensation_Seeking,0.0307,0.9799,0.9301,2720
ZKPQ-50-CC,Activity,0.041,0.9735,0.9062,2720
ZKPQ-50-CC,Neuroticism-Anxiety,0.0441,0.9716,0.8989,2720
ZKPQ-50-CC,Aggression-Hostility,0.0469,0.9698,0.8926,2720
EPQR-A,Lie,0.0556,0.9635,0.8738,1632
IPIP-NEO-120,Extraversion,0.1167,0.9281,0.7623,6528
IPIP-NEO-120,Conscientiousness,0.1198,0.9272,0.7592,6528
IPIP-NEO-120,Agreeableness,0.121,0.9287,0.7624,6528
IPIP-NEO-120,Openness,0.1326,0.921,0.7371,6528
SD3,Psychopathy,0.1443,0.916,0.732,2448
SD3,Narcissism,0.1538,0.9105,0.7059,2448
IPIP-NEO-120,Neuroticism,0.1586,0.9091,0.7016,6528
SD3,Machiavellianism,0.1807,0.9011,0.685,2448
