model,family,mean_sd,median_sd,mean_mode_agree,exact_agree_rate,mean_range,n_items
Claude-Opus-4.6,Anthropic,0.0193,0.0,0.9886,0.9553,0.0455,3757
Claude-Sonnet-4.6,Anthropic,0.0225,0.0,0.9855,0.9492,0.0516,3757
Gemini-3.1-Flash-Lite,Google,0.04,0.0,0.9776,0.9191,0.0926,3757
GPT_5.2,OpenAI,0.0642,0.0,0.9621,0.872,0.1477,3757
Qwen3-235B-A22B,Alibaba,0.0648,0.0,0.9598,0.8656,0.1496,3757
Gemini_3-Pro-Preview,Google,0.0703,0.0,0.9615,0.8656,0.1621,3757
Gemini-3.1-Pro-Preview,Google,0.0721,0.0,0.9605,0.8632,0.1658,3757
GPT-5.5,OpenAI,0.0741,0.0,0.9544,0.847,0.1711,3757
Gemini-3-Flash-Preview,Google,0.0788,0.0,0.9585,0.8621,0.1823,3757
glm-5.1,Zhipu,0.1015,0.0,0.9404,0.7977,0.238,3757
Qwen3.5-397B-A17B,Alibaba,0.1226,0.0,0.9276,0.7599,0.2835,3757
Qwen3.5-122B-A10B,Alibaba,0.1237,0.0,0.9281,0.7565,0.2867,3757
Kimi-K2.5,Moonshot,0.1248,0.0,0.9242,0.753,0.2912,3757
Kimi-K2.6,Moonshot,0.1257,0.0,0.9255,0.7506,0.2928,3757
glm-4.7,Zhipu,0.1382,0.0,0.9213,0.737,0.3215,3757
DeepSeek-V4-Flash,DeepSeek,0.1482,0.0,0.9105,0.7085,0.3508,3757
MiniMax-M2.7,MiniMax,0.1702,0.0,0.8981,0.667,0.4014,3757
DeepSeek-V3.2,DeepSeek,0.1728,0.0,0.8915,0.6425,0.4054,3757
GLM-4.6V,Zhipu,0.1846,0.0,0.8922,0.6526,0.4333,3757
DeepSeek-V4-Pro,DeepSeek,0.192,0.0,0.8816,0.6117,0.4546,3757
