item_id,scale,domain,item_text,mean_sd,max_sd,mean_mode_agree
sd3_004,SD3,Machiavellianism,Avoid direct conflict with others because they may be useful in the future.,0.2688,1.4697,0.8524
sd3_001,SD3,Machiavellianism,It's not wise to tell your secrets.,0.2431,1.2,0.8729
sd3_003,SD3,Machiavellianism,"Whatever it takes, you must get the important people on your side.",0.2344,1.2,0.8776
sd3_016,SD3,Narcissism,I have been compared to famous people.,0.225,1.4697,0.8653
ipip_076,IPIP-NEO-120,Neuroticism,Only feel comfortable with friends,0.2246,1.2,0.8841
ipip_031,IPIP-NEO-120,Neuroticism,Fear for the worst,0.2235,1.4967,0.8835
ipip_118,IPIP-NEO-120,Openness,Tend to vote for conservative political candidates,0.2173,1.0198,0.8724
sd3_013,SD3,Narcissism,I know that I am special because everyone keeps telling me so.,0.2119,1.4697,0.8835
sd3_024,SD3,Psychopathy,People who mess with me always regret it.,0.2058,1.2,0.8759
ipip_066,IPIP-NEO-120,Neuroticism,Lose my composure,0.2031,1.6,0.8882
sd3_007,SD3,Machiavellianism,There are things you should hide from other people because they don't need to know.,0.2028,1.2649,0.8994
ipip_028,IPIP-NEO-120,Openness,Tend to vote for liberal political candidates,0.1926,0.9798,0.8847
ipip_096,IPIP-NEO-120,Neuroticism,Am not easily annoyed,0.1915,1.3565,0.9071
ipip_113,IPIP-NEO-120,Openness,Try to understand myself,0.1912,1.9596,0.8888
ipip_091,IPIP-NEO-120,Neuroticism,Am stressed out,0.191,1.1662,0.8859
ipip_100,IPIP-NEO-120,Conscientiousness,Want everything to be 'just right',0.1876,1.2649,0.8929
ipip_086,IPIP-NEO-120,Neuroticism,Can't make up my mind,0.1873,1.2649,0.8982
sd3_017,SD3,Narcissism,I am an average person.,0.186,1.6248,0.8988
ipip_058,IPIP-NEO-120,Openness,Believe that there is no absolute right or wrong,0.184,1.4967,0.9035
ipip_036,IPIP-NEO-120,Neuroticism,Lose my temper,0.1816,0.9798,0.89
