model,scale,raw_mean,fwd_raw_mean,rev_raw_mean,acquiescence_gap,fwd_agree_rate,rev_agree_rate,agree_rate_gap,overall_agree_rate
Claude-Opus-4.6,ZKPQ-50-CC,0.5,0.5473684210526317,0.6833333333333332,-0.21929824561403505,0.4473684210526316,0.6666666666666666,-0.21929824561403505,0.5
Claude-Opus-4.6,EPQR-A,0.16666666666666666,0.11578947368421054,0.6,-0.5473684210526315,0.05263157894736842,0.6,-0.5473684210526315,0.16666666666666666
Claude-Sonnet-4.6,ZKPQ-50-CC,0.2,0.27894736842105267,0.6333333333333333,-0.2850877192982456,0.13157894736842105,0.4166666666666667,-0.2850877192982456,0.2
Claude-Sonnet-4.6,EPQR-A,0.125,0.10526315789473684,0.52,-0.3473684210526316,0.05263157894736842,0.4,-0.3473684210526316,0.125
DeepSeek-V3.2,ZKPQ-50-CC,0.36,0.5578947368421052,0.7666666666666666,-0.5131578947368421,0.23684210526315788,0.75,-0.5131578947368421,0.36
DeepSeek-V3.2,EPQR-A,0.0,0.05263157894736842,0.12,0.0,0.0,0.0,0.0,0.0
DeepSeek-V4-Flash,ZKPQ-50-CC,0.54,0.6263157894736843,0.8166666666666668,-0.27631578947368424,0.47368421052631576,0.75,-0.27631578947368424,0.54
DeepSeek-V4-Flash,EPQR-A,0.16666666666666666,0.23157894736842108,0.27999999999999997,-0.04210526315789476,0.15789473684210525,0.2,-0.04210526315789476,0.16666666666666666
DeepSeek-V4-Pro,ZKPQ-50-CC,0.38,0.531578947368421,0.8166666666666668,-0.4868421052631579,0.2631578947368421,0.75,-0.4868421052631579,0.38
DeepSeek-V4-Pro,EPQR-A,0.08333333333333333,0.14736842105263157,0.24,-0.1473684210526316,0.05263157894736842,0.2,-0.1473684210526316,0.08333333333333333
GLM-4.6V,ZKPQ-50-CC,0.06,0.10526315789473684,0.4000000000000001,-0.14035087719298245,0.02631578947368421,0.16666666666666666,-0.14035087719298245,0.06
GLM-4.6V,EPQR-A,0.041666666666666664,0.17894736842105263,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
GPT-5.5,ZKPQ-50-CC,0.1,0.015789473684210527,0.43333333333333335,-0.4166666666666667,0.0,0.4166666666666667,-0.4166666666666667,0.1
GPT-5.5,EPQR-A,0.041666666666666664,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
GPT_5.2,ZKPQ-50-CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT_5.2,EPQR-A,0.08333333333333333,0.10526315789473684,0.0,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.08333333333333333
Gemini-3-Flash-Preview,ZKPQ-50-CC,0.08,0.01578947368421053,0.45,-0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.08
Gemini-3-Flash-Preview,EPQR-A,0.041666666666666664,0.10526315789473684,0.32,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.041666666666666664
