persona,domain,alpha,n_models,n_items
Default,Neuroticism,0.9362047999015047,20,24
Default,Extraversion,0.9033758590292869,20,24
Default,Openness,0.8475367403954222,20,24
Default,Agreeableness,0.796595969813327,20,24
Default,Conscientiousness,0.8063529098319604,20,24
ISTJ,Neuroticism,0.7081968671630422,20,24
ISTJ,Extraversion,0.8761151711746643,20,24
ISTJ,Openness,0.6579179326855225,20,24
ISTJ,Agreeableness,0.4149866915656661,20,24
ISTJ,Conscientiousness,0.6942138215225081,20,24
ISFJ,Neuroticism,0.7235688584117117,20,24
ISFJ,Extraversion,0.8063311853246546,20,24
ISFJ,Openness,0.7590490915768522,20,24
ISFJ,Agreeableness,0.6202872037925776,20,24
ISFJ,Conscientiousness,0.7823142906847591,20,24
INFJ,Neuroticism,0.6645258329569611,20,24
INFJ,Extraversion,0.888497772251619,20,24
INFJ,Openness,0.6084136929148792,20,24
INFJ,Agreeableness,0.765782860156749,20,24
INFJ,Conscientiousness,0.8052162553602362,20,24
INTJ,Neuroticism,0.5968677896508517,20,24
INTJ,Extraversion,0.7674926644472836,20,24
INTJ,Openness,0.7222314574656316,20,24
INTJ,Agreeableness,0.7175609684869291,20,24
INTJ,Conscientiousness,0.5203503467414793,20,24
ISTP,Neuroticism,0.8197681717370381,20,24
ISTP,Extraversion,0.8331750847004871,20,24
ISTP,Openness,0.6735263804003176,20,24
ISTP,Agreeableness,0.7917212587392592,20,24
ISTP,Conscientiousness,0.6479362581152864,20,24
ISFP,Neuroticism,0.7829780472202024,20,24
ISFP,Extraversion,0.8898190742563492,20,24
ISFP,Openness,0.8182953010976665,20,24
ISFP,Agreeableness,0.589006992539328,20,24
ISFP,Conscientiousness,0.7863099144001003,20,24
INFP,Neuroticism,0.6737347210063868,20,24
INFP,Extraversion,0.8672426818687174,20,24
INFP,Openness,0.5558083128005439,20,24
INFP,Agreeableness,0.6866860434707894,20,24
INFP,Conscientiousness,0.7699075229119398,20,24
INTP,Neuroticism,0.7369678728616981,20,24
INTP,Extraversion,0.8498940687720097,20,24
INTP,Openness,0.7058967678476311,20,24
INTP,Agreeableness,0.7290988859311842,20,24
INTP,Conscientiousness,0.7268973393228341,20,24
ESTP,Neuroticism,0.8978422508113123,20,24
ESTP,Extraversion,0.8737573494793777,20,24
ESTP,Openness,0.7970062436787625,20,24
ESTP,Agreeableness,0.6934334592401278,20,24
ESTP,Conscientiousness,0.6366391242559026,20,24
ESFP,Neuroticism,0.8734421360900472,20,24
ESFP,Extraversion,0.7130220656724094,20,24
ESFP,Openness,0.7907678143403655,20,24
ESFP,Agreeableness,0.8149351061265397,20,24
ESFP,Conscientiousness,0.8089789429657209,20,24
ENFP,Neuroticism,0.8471161448810804,20,24
ENFP,Extraversion,0.6289104320410333,20,24
ENFP,Openness,0.6686533254489435,20,24
ENFP,Agreeableness,0.7356551005103252,20,24
ENFP,Conscientiousness,0.8641680172700779,20,24
ENTP,Neuroticism,0.8101772884219476,20,24
ENTP,Extraversion,0.8266136439587247,20,24
ENTP,Openness,0.5124203613704839,20,24
ENTP,Agreeableness,0.6155836550393808,20,24
ENTP,Conscientiousness,0.698714208376414,20,24
ESTJ,Neuroticism,0.7192976132477713,20,24
ESTJ,Extraversion,0.8347108016732058,20,24
ESTJ,Openness,0.42023271851742533,20,24
ESTJ,Agreeableness,0.6997440137882922,20,24
ESTJ,Conscientiousness,0.5484659427199428,20,24
ESFJ,Neuroticism,0.7689873753571363,20,24
ESFJ,Extraversion,0.7348198998351975,20,24
ESFJ,Openness,0.7321064078711093,20,24
ESFJ,Agreeableness,0.6846152285499806,20,24
ESFJ,Conscientiousness,0.7757157179607178,20,24
ENFJ,Neuroticism,0.7989196992861229,20,24
ENFJ,Extraversion,0.6761009639948167,20,24
ENFJ,Openness,0.830962309178471,20,24
ENFJ,Agreeableness,0.6857361492505194,20,24
ENFJ,Conscientiousness,0.7279559166755444,20,24
ENTJ,Neuroticism,0.6071100393250902,20,24
ENTJ,Extraversion,0.74937289740576,20,24
ENTJ,Openness,0.7367654419729285,20,24
ENTJ,Agreeableness,0.37402802187874673,20,24
ENTJ,Conscientiousness,0.2604895916804385,20,24
