model,persona,construct,n_domains,mean_adjusted_delta,mean_abs_adjusted_delta,sign_match_rate,coherence_score
Claude-Opus-4.6,ISTJ,Extraversion,4,-0.3980564673772297,0.9208822778146297,0.5,0.4322555411988904
Claude-Opus-4.6,ISTJ,Neuroticism,3,0.46672148425912957,1.2589464423599181,0.3333333333333333,0.3707238596935479
Claude-Opus-4.6,ISTJ,Agreeableness_vs_Antagonism,4,-0.15661236508991716,0.8821932000307917,0.5,0.17752615309713432
Claude-Opus-4.6,ISTJ,Conscientiousness_vs_Disinhibition,4,0.615833309010195,0.8244114165176374,0.5,0.7469975508242126
Claude-Opus-4.6,ISFJ,Extraversion,4,-0.37681598097466007,0.55980501462775,0.5,0.6731200527477036
Claude-Opus-4.6,ISFJ,Neuroticism,3,2.3954253878953313,2.3954253878953313,1.0,1.0
Claude-Opus-4.6,ISFJ,Agreeableness_vs_Antagonism,4,0.4086588845043377,0.6773695332299816,0.3333333333333333,0.6033027239292577
Claude-Opus-4.6,ISFJ,Conscientiousness_vs_Disinhibition,4,0.6247971112950478,0.6943231471308619,0.5,0.8998650180062192
Claude-Opus-4.6,INFJ,Extraversion,4,-0.5590817169821375,0.5590817169821375,1.0,1.0
Claude-Opus-4.6,INFJ,Neuroticism,3,2.3901471352295016,2.3901471352295016,1.0,1.0
Claude-Opus-4.6,INFJ,Agreeableness_vs_Antagonism,4,0.20081456962017008,0.5629547303175926,0.5,0.3567153072981196
Claude-Opus-4.6,INFJ,Conscientiousness_vs_Disinhibition,4,0.42478742566720196,0.6333655331746444,0.5,0.6706828891335818
Claude-Opus-4.6,INTJ,Extraversion,4,-0.3153762612853787,0.9689085243321287,0.5,0.3254964254781105
Claude-Opus-4.6,INTJ,Neuroticism,3,-0.24167093945991022,1.0165686998766363,0.0,0.23773202882327354
Claude-Opus-4.6,INTJ,Agreeableness_vs_Antagonism,4,-0.9438721599105439,1.1348144848949846,0.5,0.8317413748890327
Claude-Opus-4.6,INTJ,Conscientiousness_vs_Disinhibition,4,0.10913982414805379,0.65151799929567,0.3333333333333333,0.16751620717469123
Claude-Opus-4.6,ISTP,Extraversion,4,-0.8305088926972726,0.8305088926972726,1.0,1.0
Claude-Opus-4.6,ISTP,Neuroticism,3,-0.11072000427433941,1.1475196350622072,0.0,0.09648637015987728
Claude-Opus-4.6,ISTP,Agreeableness_vs_Antagonism,4,-1.122768437518681,1.2755222975062335,0.5,0.8802421092236485
Claude-Opus-4.6,ISTP,Conscientiousness_vs_Disinhibition,4,-0.9509658517021293,0.9509658517021293,1.0,1.0
Claude-Opus-4.6,ISFP,Extraversion,4,-0.766391074072068,0.766391074072068,1.0,1.0
Claude-Opus-4.6,ISFP,Neuroticism,3,2.4456923286108396,2.4456923286108396,1.0,1.0
Claude-Opus-4.6,ISFP,Agreeableness_vs_Antagonism,4,0.02803033733045035,0.5447966376228716,0.3333333333333333,0.0514510101471184
Claude-Opus-4.6,ISFP,Conscientiousness_vs_Disinhibition,4,-0.72341443106784,0.72341443106784,1.0,1.0
Claude-Opus-4.6,INFP,Extraversion,4,-0.8296692661307226,0.8296692661307226,1.0,1.0
Claude-Opus-4.6,INFP,Neuroticism,3,2.8404951930389957,2.8404951930389957,1.0,1.0
Claude-Opus-4.6,INFP,Agreeableness_vs_Antagonism,4,0.3694776531719672,0.6754297586636824,0.5,0.5470260207411762
Claude-Opus-4.6,INFP,Conscientiousness_vs_Disinhibition,4,-0.8439805826758628,0.8439805826758628,1.0,1.0
Claude-Opus-4.6,INTP,Extraversion,4,-1.0517083850751139,1.0517083850751139,1.0,1.0
Claude-Opus-4.6,INTP,Neuroticism,3,0.47442728637699444,1.033644903859904,0.0,0.45898478733398407
Claude-Opus-4.6,INTP,Agreeableness_vs_Antagonism,4,-0.9253035744790524,1.2308112944541574,0.5,0.7517834607533463
Claude-Opus-4.6,INTP,Conscientiousness_vs_Disinhibition,4,-0.7649163877903731,0.9394995715225325,0.5,0.8141742806234241
Claude-Opus-4.6,ESTP,Extraversion,4,1.3093391390848954,1.3093391390848954,1.0,1.0
Claude-Opus-4.6,ESTP,Neuroticism,3,-0.007086235378049348,1.064747531464194,0.0,0.006655319846860474
Claude-Opus-4.6,ESTP,Agreeableness_vs_Antagonism,4,-2.0041816846175284,2.0041816846175284,1.0,1.0
Claude-Opus-4.6,ESTP,Conscientiousness_vs_Disinhibition,4,-1.985237637787599,1.985237637787599,1.0,1.0
Claude-Opus-4.6,ESFP,Extraversion,4,1.2516790918057266,1.2516790918057266,1.0,1.0
Claude-Opus-4.6,ESFP,Neuroticism,3,0.5585997637266849,1.3974261899510492,0.3333333333333333,0.3997347178288194
Claude-Opus-4.6,ESFP,Agreeableness_vs_Antagonism,4,-0.4987299697303834,0.5369184347272716,0.5,0.9288747367814143
Claude-Opus-4.6,ESFP,Conscientiousness_vs_Disinhibition,4,-1.3421823571587934,1.3421823571587934,1.0,1.0
Claude-Opus-4.6,ENFP,Extraversion,4,1.2131669913987633,1.2131669913987633,1.0,1.0
Claude-Opus-4.6,ENFP,Neuroticism,3,1.792430444033806,1.792430444033806,1.0,1.0
Claude-Opus-4.6,ENFP,Agreeableness_vs_Antagonism,4,-0.3153537286263651,0.4945571590265715,0.5,0.6376486981748896
Claude-Opus-4.6,ENFP,Conscientiousness_vs_Disinhibition,4,-1.4182002450786464,1.4182002450786464,1.0,1.0
Claude-Opus-4.6,ENTP,Extraversion,4,1.176595512727964,1.176595512727964,1.0,1.0
Claude-Opus-4.6,ENTP,Neuroticism,3,0.24349567731307897,1.2687279760317465,0.3333333333333333,0.1919211067408402
Claude-Opus-4.6,ENTP,Agreeableness_vs_Antagonism,4,-1.7966748773396806,1.7966748773396806,1.0,1.0
Claude-Opus-4.6,ENTP,Conscientiousness_vs_Disinhibition,4,-1.69431822159672,1.69431822159672,1.0,1.0
Claude-Opus-4.6,ESTJ,Extraversion,4,1.0242038151129271,1.0242038151129271,1.0,1.0
Claude-Opus-4.6,ESTJ,Neuroticism,3,-0.24167093945991022,1.0165686998766363,0.0,0.23773202882327354
Claude-Opus-4.6,ESTJ,Agreeableness_vs_Antagonism,4,-1.3173619248352417,1.3173619248352417,1.0,1.0
Claude-Opus-4.6,ESTJ,Conscientiousness_vs_Disinhibition,4,0.4075013530519289,0.8525055302152724,0.5,0.4780043514193131
Claude-Opus-4.6,ESFJ,Extraversion,4,1.1495381801677,1.1495381801677,1.0,1.0
Claude-Opus-4.6,ESFJ,Neuroticism,3,1.5210258055001977,1.5210258055001977,1.0,1.0
Claude-Opus-4.6,ESFJ,Agreeableness_vs_Antagonism,4,0.19281958629205118,0.4175264723218757,0.3333333333333333,0.46181403832857926
Claude-Opus-4.6,ESFJ,Conscientiousness_vs_Disinhibition,4,0.33973562988609096,0.4648950103286007,0.3333333333333333,0.730779256258217
Claude-Opus-4.6,ENFJ,Extraversion,4,1.2380905982000276,1.2380905982000276,1.0,1.0
Claude-Opus-4.6,ENFJ,Neuroticism,3,1.4063991535803664,1.4996020898275182,0.3333333333333333,0.9378482219520834
Claude-Opus-4.6,ENFJ,Agreeableness_vs_Antagonism,4,0.08971273779644812,0.3678794608299262,0.3333333333333333,0.24386449190193601
Claude-Opus-4.6,ENFJ,Conscientiousness_vs_Disinhibition,4,-0.3633904566007226,0.3886449079914739,0.3333333333333333,0.9350192145285863
Claude-Opus-4.6,ENTJ,Extraversion,4,1.0509772299498437,1.0509772299498437,1.0,1.0
Claude-Opus-4.6,ENTJ,Neuroticism,3,-0.42490171057369336,0.8333379287628532,0.0,0.5098792409514935
Claude-Opus-4.6,ENTJ,Agreeableness_vs_Antagonism,4,-1.6454869690102039,1.6454869690102039,1.0,1.0
Claude-Opus-4.6,ENTJ,Conscientiousness_vs_Disinhibition,4,-0.3849577671259895,0.5717316953971547,0.3333333333333333,0.6733189190404735
Claude-Sonnet-4.6,ISTJ,Extraversion,4,-0.07948093011363555,0.6023067405510355,0.5,0.13196088431771563
Claude-Sonnet-4.6,ISTJ,Neuroticism,3,-0.9610863428365585,0.9610863428365585,1.0,1.0
Claude-Sonnet-4.6,ISTJ,Agreeableness_vs_Antagonism,4,0.14748404876251564,0.4033360568799087,0.3333333333333333,0.36566046165921706
Claude-Sonnet-4.6,ISTJ,Conscientiousness_vs_Disinhibition,4,0.8667812532855043,0.8667812532855043,1.0,1.0
Claude-Sonnet-4.6,ISFJ,Extraversion,4,-0.10666488392219461,0.4168646154978695,0.3333333333333333,0.2558741614344088
Claude-Sonnet-4.6,ISFJ,Neuroticism,3,0.12037053255547343,0.679588150038383,0.3333333333333333,0.17712276552890885
Claude-Sonnet-4.6,ISFJ,Agreeableness_vs_Antagonism,4,0.6587735013856688,0.6587735013856688,1.0,1.0
Claude-Sonnet-4.6,ISFJ,Conscientiousness_vs_Disinhibition,4,0.8454150505746438,0.8454150505746438,1.0,1.0
