model,nearest_z_euclidean,nearest_z_euclidean_distance,nearest_z_euclidean_margin,nearest_cosine,nearest_cosine_distance,nearest_cosine_margin,nearest_mahalanobis,nearest_mahalanobis_distance,nearest_mahalanobis_margin,empirical_EI_projection,theory_EI_projection,empirical_SN_projection,theory_SN_projection,empirical_TF_projection,theory_TF_projection,empirical_JP_projection,theory_JP_projection,default_empirical_axis_type,default_theory_axis_type
Claude-Opus-4.6,ISTP,0.9875338049538351,0.05423544602349417,INTP,0.8809984168684352,0.016369707525458188,ENTJ,1.8428901798007444,0.04975523812673699,-0.25854835063213527,-0.3009477226825322,0.04525780672084673,0.24587476511424555,-0.04492850011021225,0.709491789732282,0.08997782406061146,0.19487389376850847,INTJ,INFJ
Claude-Sonnet-4.6,ISFP,0.7004689972712772,0.019671903838043736,ISFP,0.35954071769858875,0.05745033356606388,ISFP,1.2552458225650178,0.002828628262252275,-1.627616037940864,-1.560953974110489,0.5869973517216307,0.1049548353582841,0.6462777330386337,0.5690145885386262,-0.4942108513008845,0.18064276400477197,INFP,INFJ
DeepSeek-V3.2,ISFP,0.9541778002045116,0.06299316012803668,INFP,0.6131945549216338,0.005709769654584473,ISFP,1.7827813420523921,0.02374405897887244,-0.6818332731593288,-0.47158209669610507,0.8340465297911608,0.32349319954854366,0.2773799216833765,-0.8476994184123907,-1.1847309282328533,-0.3343454009474685,INFP,INTP
DeepSeek-V4-Flash,ISFP,0.9351179150946431,0.07523354147210282,INFP,0.5442030791783086,0.12130434780856159,ENTJ,1.5099331126319266,0.028331285452974697,-0.2490207679612921,0.05762874670961443,1.4436186549274503,1.0442713199974154,0.8750975756914955,-0.0034225592691123213,-0.9203060632194968,-0.29363281914706346,INFP,ENTP
DeepSeek-V4-Pro,ISFP,0.7118278915621712,0.1488465933142077,ISFP,0.3774936649491156,0.0028559679632285118,ISFP,1.084944514221896,0.10100357559016371,-1.0361918566468522,-0.677486295342614,0.8883902172531256,0.3804796794437543,0.7499660819182139,-0.11265862052401109,-0.7539603379905409,-0.15992354077289184,INFP,INTP
GLM-4.6V,ISTP,0.7919854923383235,0.0004756098450247048,INTJ,0.6012650784363673,0.03216916474093867,INTP,1.271250291226656,0.07330856448423173,-0.40284730837706506,-0.25769345989268727,-0.44328068861456965,0.07696049514866889,-0.7400219853596808,0.04018561474915594,0.4512541791795615,0.6150117811285595,ISTJ,INFJ
GPT 5.2,INTP,0.8444451047721342,0.05721336957303247,INTP,0.6063018678167644,0.19851729619907665,INTP,1.4178605951119967,0.04395151343618231,-0.44985183472538337,-0.12461993510417066,-0.19040390386141287,-0.12999858825785898,-0.2732632512837039,-0.27072464719395894,-0.286224326359085,0.5397505339465173,ISTP,ISTJ
GPT-5.5,ISTP,0.8451002503354235,0.007416320713590774,ISTJ,0.5096981842166156,0.15356002097689136,INTP,1.1177637006354757,0.09534588502366059,-0.6566433202111465,-0.5465305031444596,-0.8854915957962419,-0.412652610082136,-0.428866599118473,1.0011878351341261,0.8606447661012742,0.8685995856241968,ISTJ,ISFJ
Gemini 3-Pro-Preview,ISTJ,0.9039869310344235,0.0867906297792177,ISTJ,0.4496532404085002,0.15072845694748593,ISFJ,1.6370002790887848,0.019298935801838724,-1.4277181646504151,-0.9911997698860298,-0.9023460271698637,0.2473900533662516,-0.09708735966374223,1.8842263917489879,1.7760562752931852,1.5380724388707243,ISTJ,INFJ
Gemini-3-Flash-Preview,INTJ,0.68818347094513,0.04376057629593366,ISTJ,0.3944903283633997,0.022324918029841045,INTP,0.9608326977217478,0.14172531296647572,-1.146575078904078,-0.9240021153330439,-0.9121075089264244,-0.4760862941187205,-0.816166084538193,0.4454557942821208,0.9544641071833786,0.8206821090589569,ISTJ,ISFJ
Gemini-3.1-Flash-Lite,INTP,0.8041359503658798,0.05756584766296935,INTP,0.5302604002665208,0.1667732158048878,INTP,1.6141377486734905,0.020715816573597223,-0.6606795758560815,-0.635464018900631,0.32183453802384043,0.45509344936645363,-0.5336059467934565,-0.7574879486713868,-0.45556150353922503,0.5946259085814044,INTP,INTJ
Gemini-3.1-Pro-Preview,ISTJ,0.8752390684153145,0.10030844964036034,ISTJ,0.43519958719928176,0.17388659455256084,ISFJ,1.5529943773993808,0.035647403196122696,-1.3190580304848516,-0.9417503656065349,-0.9615398560319456,0.16167468460692114,-0.14007935370652452,1.8701833825595762,1.7477782942164197,1.5198644411281796,ISTJ,INFJ
Kimi-K2.5,ISTJ,0.7962452412654878,0.013833568827279707,ISTJ,0.41450344566890196,0.13295561413772383,INTP,1.1418998976018602,0.09243470557099331,-1.2231607495553953,-1.1539251451453751,-1.004692501370794,-0.38658965214763036,-0.6386910912588439,1.0205111837427017,1.050667095627022,0.9057626446428342,ISTJ,ISFJ
Kimi-K2.6,ISTJ,0.7874005746924677,0.0035142734373396767,ISTJ,0.40219295162135493,0.11016976229945663,INTP,1.1086831590101187,0.10585146316656413,-1.3200678725004948,-1.243594202863615,-1.0226579144635177,-0.4069500940705594,-0.699502369765705,0.9805941447614098,1.0260301095328273,0.8369973784496267,ISTJ,ISFJ
MiniMax-M2.7,INTJ,0.7481193154615371,0.012014372936982043,INTJ,0.5290578247612898,0.07508358579537822,INTP,1.1793667421062686,0.03393627585615122,-0.3394372952315928,-0.4702427284655572,-0.6153547246677153,-0.2746802633472397,-0.9005117757118108,-0.01956310659358254,0.5835658436007838,0.8422954274859237,ISTJ,ISTJ
Qwen3-235B-A22B,ENFP,0.9122805248623754,0.07251922760899454,INFP,0.47313943788829904,0.0058501328250389895,INFP,1.2294579362405884,0.04552240220926218,0.16431094129276688,-0.015124005640959753,1.9309834492643494,1.0389522263663336,1.3119426512333152,-0.12502355023085487,-1.5727110808848073,-0.6346070550264026,ENFP,INTP
Qwen3.5-122B-A10B,ISTJ,0.8296906780684666,0.12999580837747815,ISTJ,0.41111504379950226,0.15927640231030815,ISFJ,1.5330097995008716,0.006331265973029021,-1.3192289284891097,-0.9277688303360087,-1.3211832619336776,-0.417126747438865,-0.2297525125206993,1.6564181743802848,1.5334001741735164,1.2639049928981116,ISTJ,ISFJ
