scale,domain,grp1_mean,grp2_mean,cohens_d,p_value
EPQR-A,Psychoticism,0.1667,0.19446666666666668,-0.6736073269699725,0.1985450639324445
ZKPQ-50-CC,Sociability,0.40750000000000003,0.32666666666666666,0.6374266562794276,0.1634467859712015
EPQR-A,Neuroticism,0.0208375,0.08889166666666666,-0.5247259462069527,0.3031808107537409
ZKPQ-50-CC,Impulsive_Sensation_Seeking,0.12,0.2733333333333333,-0.520286390251781,0.2933649303613076
SD3,Machiavellianism,2.36945,2.485183333333333,-0.42374259683503784,0.3716769612856988
ZKPQ-50-CC,Activity,0.21000000000000002,0.27666666666666667,-0.4204881643155537,0.3828328916771948
IPIP-NEO-120,Conscientiousness,4.1249875,4.254166666666666,-0.3170974380686789,0.4718539353154422
ZKPQ-50-CC,Neuroticism-Anxiety,0.17500000000000004,0.25333333333333335,-0.2532752884679295,0.5972085856854481
ZKPQ-50-CC,Aggression-Hostility,0.235,0.2666666666666667,-0.2183565259285634,0.6359468857966757
IPIP-NEO-120,Agreeableness,4.1830875,4.235408333333334,-0.17759947808364404,0.6941196424353879
EPQR-A,Extraversion,0.4458375,0.4749999999999999,-0.16317466907863162,0.7346829052918897
IPIP-NEO-120,Openness,3.4895875,3.5444416666666663,-0.14421540975737035,0.7655599888281344
SD3,Narcissism,2.7944375,2.7592666666666665,0.13405135638548585,0.7747819644457906
IPIP-NEO-120,Extraversion,2.8979125,2.934025,-0.09337876955989872,0.8499247024461528
SD3,Psychopathy,1.6080875000000001,1.5685166666666666,0.06644262213504729,0.8803655138516036
IPIP-NEO-120,Neuroticism,1.892675,1.9270916666666666,-0.045832490465628484,0.9205037483753318
EPQR-A,Lie,0.27499999999999997,0.27220833333333333,0.02325336767231345,0.9591914154872301
