domain,eigenvalue
IPIP_Neuroticism,6.968139045417917
IPIP_Extraversion,4.334734732410436
IPIP_Openness,3.0742785665690016
IPIP_Agreeableness,0.8306077543713808
IPIP_Conscientiousness,0.5195891695372867
SD3_Machiavellianism,0.22306209639163493
SD3_Narcissism,0.21005987346504787
SD3_Psychopathy,0.17658359183820144
ZKPQ_Activity,0.13652811148964625
ZKPQ_Aggression,0.12269650742720585
ZKPQ_ImpulsiveSS,0.1015770146079096
ZKPQ_NeuroticismA,0.09880468193118293
ZKPQ_Sociability,0.07145194623233339
EPQR_Psychoticism,0.05880611168922809
EPQR_Extraversion,0.038140999586235354
EPQR_Neuroticism,0.021542309651355448
EPQR_Lie,0.013397487383997772
