model,n_personas,n_domains_kept,n_domains_dropped,n_factors_kaiser,n_factors_pa,ev1,ev2,ev3,ev_ratio,pct_first3
Claude-Opus-4.6,17,17,0,3,3,7.313336520306318,4.265175046369022,3.0892122607490538,1.7146626904638347,86.28072839661411
Claude-Sonnet-4.6,17,17,0,3,3,7.65156127579872,4.896561395847126,2.5781328065373224,1.5626397092229183,88.97797340107748
DeepSeek-V3.2,17,17,0,3,3,6.716497968539645,5.273003940895907,3.098888426979299,1.2737517445129165,88.75523727302857
DeepSeek-V4-Flash,17,17,0,3,3,7.034887367011758,5.10768243415334,3.089396858161272,1.3773149481596296,89.5998038783904
DeepSeek-V4-Pro,17,17,0,3,3,7.017931165155857,5.094312647669788,3.0748042178706396,1.377601189900655,89.33557665115464
GLM-4.6V,17,17,0,3,3,7.2695486323267025,4.580100858647678,3.192279522427261,1.5872027400010382,88.48193537295086
GPT-5.5,17,17,0,3,3,7.602693536856069,4.406793822394722,3.1300953782465184,1.7252210662137684,89.05636904410179
GPT_5.2,17,17,0,3,4,6.901244959759792,4.6536968787767155,3.3976455495774363,1.4829597069875926,87.95639640067026
Gemini-3-Flash-Preview,17,17,0,3,3,7.447506609178079,4.3530053096444545,3.3608845494063257,1.7108884734593577,89.18468510722857
Gemini-3.1-Flash-Lite,17,17,0,3,3,7.002485768212666,4.786890549685823,3.3323081971344535,1.4628464335104254,88.95108538254674
Gemini-3.1-Pro-Preview,17,17,0,3,3,7.459801119888992,4.039781028564432,3.1899326529335954,1.8465855122201735,86.40891059639425
Gemini_3-Pro-Preview,17,17,0,3,3,7.507307325812786,3.9783351211956823,3.2118589033045883,1.8870474952739718,86.45589029595915
Kimi-K2.5,17,17,0,3,3,7.390686303957669,4.871229544675397,3.0558820718984165,1.5172116682606795,90.1046936501852
Kimi-K2.6,17,17,0,3,3,7.360286747571643,4.841240090979483,3.0728219142562785,1.5203308675572225,89.8491103106318
MiniMax-M2.7,17,17,0,3,4,7.123830168646462,5.001065714754782,2.9961602334484523,1.4244624196056512,88.94738892264527
Qwen3-235B-A22B,17,17,0,3,3,7.0854859935664924,4.974881794649701,2.8744456857361316,1.4242521302087354,87.85184396442538
Qwen3.5-122B-A10B,17,17,0,3,3,6.992738046182312,4.169133414049039,3.7301620923010685,1.6772641582105199,87.60019736783778
Qwen3.5-397B-A17B,17,17,0,3,4,7.264167496397216,4.373290121926349,3.5161468504045152,1.6610303213081807,89.13884981604751
glm-4.7,17,17,0,3,3,7.136851605798628,4.643532102184843,3.310571077976169,1.5369446035358827,88.7703222703508
glm-5.1,17,17,0,3,3,7.474173059869196,4.376461487637378,3.2933151660237048,1.7078119117424495,89.08205713841345
