persona,n_models,n_domains_kept,n_domains_dropped,n_factors_kaiser,n_factors_pa,ev1,ev2,ev3,ev_ratio,pct_first3
Default,20,17,0,3,2,8.558346048057704,3.7360263043340343,0.8656075600298262,2.2907617213854903,81.06769341493778
INTJ,20,16,1,6,1,4.175496175823891,2.4762818854476993,1.610836480482082,1.6861958246199351,53.8214118727195
INTP,20,16,1,5,2,4.367075209459346,3.0421424385849427,1.6705946230225646,1.4355262114191791,60.53374268581801
INFJ,20,17,0,5,1,6.593670727431821,2.4103770959925654,1.7401467660979537,2.7355349245536305,64.32305875345693
INFP,20,17,0,4,2,5.664739629601332,3.316131597181605,1.927264432986035,1.7082372829883528,65.1375060291715
ISTJ,20,15,2,4,2,4.793016913981168,2.7190696040286504,1.549096844448072,1.7627415299997096,63.49989519764166
ISTP,20,15,2,5,2,4.674257362243777,2.7631752968265495,1.4091573894531704,1.6916253440786282,62.5401229535371
ISFJ,20,15,2,4,1,6.656909462544704,2.4832390539532314,1.4178118800145958,2.680736456664183,73.32624654636962
ISFP,20,17,0,5,1,6.344217814626106,2.800519518010159,1.6418124221330879,2.2653717547142236,66.75783442789582
ENTJ,20,17,0,6,1,3.953860580887311,2.822169566317672,1.9073594460391137,1.4010003608841455,53.21105739448038
ENTP,20,16,1,5,2,4.9069012318883,2.6728232590700207,1.9630451168253982,1.8358494955613347,60.27787618763726
ENFJ,20,16,1,4,1,7.186116326397018,2.308014835241186,1.2292847383194985,3.113548585854767,71.62886986205481
ENFP,20,15,2,4,2,5.927285383870331,2.958635721185792,1.3647121174519805,2.0033846483455333,71.36352288206315
ESTJ,20,16,1,6,1,4.445459754512465,2.727533535908766,1.5448290120757187,1.6298460480821608,58.095541245456396
ESTP,20,16,1,5,2,4.760110907981781,2.9500815908652425,1.883088943965727,1.6135522904590809,60.799344129297
ESFJ,20,16,1,5,1,6.89906751879983,2.3622684756447367,1.343608705637359,2.9205264303909653,68.7583086391075
ESFP,20,16,1,5,2,5.691939087206649,3.0341874758707554,1.3673475215023265,1.8759351992820312,66.24511711612256
