scale,domain,n_models,fwd_rev_correlation,mean_fwd_scored,mean_rev_scored,mean_fwd_raw,mean_rev_raw,mean_gap
EPQR-A,Extraversion,20,-0.02948449689086084,0.21666666666666665,0.7133333333333333,0.21666666666666665,0.2866666666666667,0.53
EPQR-A,Lie,20,-0.2630372018499083,0.0125,0.795,0.0125,0.205,0.7925000000000001
IPIP-NEO-120,Agreeableness,20,0.20722158855756673,3.916428571428571,4.3352941176470585,3.925714285714286,1.6647058823529413,0.4897899159663865
IPIP-NEO-120,Conscientiousness,20,0.3706778417605831,4.130000000000001,4.372857142857143,4.130294117647059,1.6271428571428572,0.4591596638655463
IPIP-NEO-120,Extraversion,20,-0.2733844362807282,2.890952380952381,3.0300000000000002,2.8915873015873017,2.9699999999999998,0.5552380952380954
IPIP-NEO-120,Neuroticism,20,0.5791536348885489,1.8394736842105264,2.2059999999999995,1.8421052631578945,3.7950000000000004,0.6050526315789474
IPIP-NEO-120,Openness,20,-0.022929250843580194,3.602666666666667,3.455555555555555,3.606666666666667,2.5544444444444445,0.5684444444444441
SD3,Narcissism,20,-0.7997330959941905,2.2833333333333337,3.7133333333333334,2.2833333333333337,2.286666666666666,1.6166666666666665
SD3,Psychopathy,20,0.7120710544152817,1.6078571428571429,1.53,1.6057142857142856,4.470000000000001,0.3349999999999999
ZKPQ-50-CC,Activity,20,-0.6666075096536935,0.21875,0.35500000000000004,0.21875,0.645,0.41125000000000006
ZKPQ-50-CC,Aggression-Hostility,20,0.050071046996908626,0.11142857142857143,0.58,0.11142857142857143,0.42000000000000004,0.4923809523809523
ZKPQ-50-CC,Neuroticism-Anxiety,20,0.17131634510439767,0.22888888888888886,0.16,0.22888888888888886,0.8400000000000001,0.23111111111111113
ZKPQ-50-CC,Sociability,20,-0.7711542340574293,0.14250000000000002,0.5066666666666666,0.14250000000000002,0.49333333333333346,0.6025
