,EPQR-A::Psychoticism,EPQR-A::Extraversion,EPQR-A::Neuroticism,EPQR-A::Lie,IPIP-NEO-120::Neuroticism,IPIP-NEO-120::Extraversion,IPIP-NEO-120::Openness,IPIP-NEO-120::Agreeableness,IPIP-NEO-120::Conscientiousness,SD3::Machiavellianism,SD3::Narcissism,SD3::Psychopathy,ZKPQ-50-CC::Activity,ZKPQ-50-CC::Aggression-Hostility,ZKPQ-50-CC::Impulsive_Sensation_Seeking,ZKPQ-50-CC::Neuroticism-Anxiety,ZKPQ-50-CC::Sociability
EPQR-A::Psychoticism,1.0,0.14665153192990446,0.9041649328830011,-0.6244065201566659,0.4457222393279839,0.6544636891171008,0.7531560755697145,-0.013293607047510156,0.21187957734112517,0.31748721395632007,0.38043171157017275,0.1094936263352722,0.7218178135807102,0.6008569221967258,0.7568476795959227,0.5638770618146137,-0.18294881058023793
EPQR-A::Extraversion,0.14665153192990446,1.0,0.06710953812472403,0.011647681685147886,0.33204337954499213,0.5565036407074927,-0.0665092162443636,-0.2319656064035141,-0.2829905177151745,0.5293414380205096,0.3078663395033289,0.3152959398492835,0.1202535297665113,0.3825787511243859,0.1898347603368522,0.09616750667154096,0.29681287595206973
EPQR-A::Neuroticism,0.9041649328830011,0.06710953812472403,1.0,-0.7705865374198441,0.4834503574932034,0.5652851783165435,0.7071763758102825,-0.05516143682850784,0.06636345245967407,0.24728703730136062,0.35965165597292864,0.14756736136227594,0.6307311010072029,0.680700222492105,0.7859679350744966,0.6969046401088538,-0.3695394401853571
EPQR-A::Lie,-0.6244065201566659,0.011647681685147886,-0.7705865374198441,1.0,-0.389960496045232,-0.5402478009372176,-0.6269759174063034,0.06930811117692218,0.072003176761512,-0.09772415393705329,-0.3280651045341507,-0.11189792903161472,-0.6686178576160239,-0.8426522697222281,-0.8564360932524047,-0.8726677214292864,0.5150113565514396
IPIP-NEO-120::Neuroticism,0.4457222393279839,0.33204337954499213,0.4834503574932034,-0.389960496045232,1.0,0.7746098129170154,0.4878836068164356,-0.7816421183292835,-0.618491344289992,0.7505202012943296,0.5840481084438774,0.8665118461172395,0.45708844307748164,0.5875326867185597,0.6017691533482622,0.641280708930347,-0.09987960971261463
IPIP-NEO-120::Extraversion,0.6544636891171008,0.5565036407074927,0.5652851783165435,-0.5402478009372176,0.7746098129170154,1.0,0.6361550230949816,-0.49236337779468015,-0.24284720169763077,0.7333569944364763,0.59630397907893,0.5531498843371393,0.7725556653853585,0.7349272377738985,0.7971211665302008,0.7065374499960985,-0.06844760706253673
IPIP-NEO-120::Openness,0.7531560755697145,-0.0665092162443636,0.7071763758102825,-0.6269759174063034,0.4878836068164356,0.6361550230949816,1.0,-0.05237971378744847,0.25991665575806927,0.30808972653072475,0.2285043679089355,0.23937192076992406,0.7857872881873058,0.5403992337788248,0.77428713239279,0.6677338150611465,-0.34404809463373476
IPIP-NEO-120::Agreeableness,-0.013293607047510156,-0.2319656064035141,-0.05516143682850784,0.06930811117692218,-0.7816421183292835,-0.49236337779468015,-0.05237971378744847,1.0,0.8261410004151365,-0.7085359369414069,-0.5511681309139574,-0.812034052817602,-0.06156985350862285,-0.24472972933419784,-0.24923447600245616,-0.35763079498883,0.04218969457177674
IPIP-NEO-120::Conscientiousness,0.21187957734112517,-0.2829905177151745,0.06636345245967407,0.072003176761512,-0.618491344289992,-0.24284720169763077,0.25991665575806927,0.8261410004151365,1.0,-0.4672957923452336,-0.45827000625962727,-0.7296495582302501,0.16388940820201672,-0.2977970326623152,-0.05870171123840615,-0.21879439213838686,-0.09168824871450175
SD3::Machiavellianism,0.31748721395632007,0.5293414380205096,0.24728703730136062,-0.09772415393705329,0.7505202012943296,0.7333569944364763,0.30808972653072475,-0.7085359369414069,-0.4672957923452336,1.0,0.5331134178301397,0.653064327855825,0.4125293627444088,0.42079832761977765,0.48894795426027293,0.42182166760023754,0.02170303598035366
