item_id,variance,mean,scale,domain,keyed,item_text
ipip_001,1.3827368421052624,1.8800000000000001,IPIP-NEO-120,Neuroticism,+,Worry about things
ipip_002,0.79578947368421,2.4,IPIP-NEO-120,Extraversion,+,Make friends easily
ipip_003,1.2762105263157897,3.94,IPIP-NEO-120,Openness,+,Have a vivid imagination
ipip_004,0.1393684210526315,3.54,IPIP-NEO-120,Agreeableness,+,Trust others
ipip_005,0.17936842105263157,4.5600000000000005,IPIP-NEO-120,Conscientiousness,+,Complete tasks successfully
ipip_006,0.6226315789473683,1.55,IPIP-NEO-120,Neuroticism,+,Get angry easily
ipip_007,0.14694736842105263,2.7800000000000002,IPIP-NEO-120,Extraversion,+,Love large parties
ipip_008,0.26894736842105305,4.75,IPIP-NEO-120,Openness,+,Believe in the importance of art
ipip_009,0.08621052631578954,1.09,IPIP-NEO-120,Agreeableness,-,Use others for my own ends
ipip_010,0.21936842105263168,3.34,IPIP-NEO-120,Conscientiousness,+,Like to tidy up
ipip_011,0.7851578947368419,1.69,IPIP-NEO-120,Neuroticism,+,Often feel blue
ipip_012,0.31957894736842113,3.62,IPIP-NEO-120,Extraversion,+,Take charge
ipip_013,2.006315789473683,1.9,IPIP-NEO-120,Openness,+,Experience my emotions intensely
ipip_014,0.13010526315789447,4.779999999999999,IPIP-NEO-120,Agreeableness,+,Love to help others
ipip_015,0.23357894736842072,4.61,IPIP-NEO-120,Conscientiousness,+,Keep my promises
ipip_016,0.839578947368421,2.08,IPIP-NEO-120,Neuroticism,+,Find it difficult to approach others
ipip_017,0.8947368421052628,2.3,IPIP-NEO-120,Extraversion,+,Am always busy
ipip_018,0.41431578947368425,3.4799999999999995,IPIP-NEO-120,Openness,+,Prefer variety to routine
ipip_019,0.5435789473684208,1.86,IPIP-NEO-120,Agreeableness,-,Love a good fight
ipip_020,0.25628947368421057,4.345000000000001,IPIP-NEO-120,Conscientiousness,+,Work hard
ipip_021,0.5604210526315788,1.46,IPIP-NEO-120,Neuroticism,+,Go on binges
ipip_022,0.5511578947368423,3.22,IPIP-NEO-120,Extraversion,+,Love excitement
ipip_023,0.4884210526315791,4.2,IPIP-NEO-120,Openness,+,Love to read challenging material
ipip_024,0.3183157894736843,1.44,IPIP-NEO-120,Agreeableness,-,Believe that I am better than others
ipip_025,0.2664210526315789,3.9299999999999997,IPIP-NEO-120,Conscientiousness,+,Have excellent ideas
ipip_026,0.6394736842105262,1.65,IPIP-NEO-120,Neuroticism,+,Panic easily
ipip_027,0.5510526315789473,3.85,IPIP-NEO-120,Extraversion,+,Radiate joy
ipip_028,0.3268157894736843,3.195,IPIP-NEO-120,Openness,+,Tend to vote for liberal political candidates
ipip_029,0.21636257309941515,4.663333333333333,IPIP-NEO-120,Agreeableness,+,Sympathize with the homeless
ipip_030,0.536736842105263,1.9100000000000001,IPIP-NEO-120,Conscientiousness,-,Rush into things
ipip_031,0.6588421052631579,2.0100000000000002,IPIP-NEO-120,Neuroticism,+,Fear for the worst
ipip_032,0.25726315789473675,3.34,IPIP-NEO-120,Extraversion,+,Feel comfortable around people
ipip_033,0.48168421052631577,4.12,IPIP-NEO-120,Openness,+,Enjoy wild flights of fantasy
ipip_034,0.23536842105263145,3.78,IPIP-NEO-120,Agreeableness,+,Believe that others have good intentions
ipip_035,0.37642105263157893,4.32,IPIP-NEO-120,Conscientiousness,+,Excel in what I do
ipip_036,0.8988421052631577,1.61,IPIP-NEO-120,Neuroticism,+,Lose my temper
ipip_037,0.601684210526316,3.02,IPIP-NEO-120,Extraversion,+,Talk to a lot of different people at parties
