held_out_model,n_factors_kaiser,eigenvalue_diff_mean,first_eigenvalue
Claude-Opus-4.6,3,0.009319908250607179,6.979206351487964
Claude-Sonnet-4.6,3,0.01620425613675116,6.944557343588424
DeepSeek-V3.2,3,0.022392815505972875,7.01794124458689
DeepSeek-V4-Flash,3,0.007076254043815911,6.971076302378467
DeepSeek-V4-Pro,3,0.006983581246950199,6.97666053176507
GLM-4.6V,3,0.007244183556353545,6.962120871245874
GPT-5.5,3,0.006112787407868292,6.958209318453659
GPT_5.2,3,0.007925496731780002,6.9846993952249194
Gemini-3-Flash-Preview,3,0.008191160381982665,6.95368627065546
Gemini-3.1-Flash-Lite,3,0.011123443420265122,6.974392346741078
Gemini-3.1-Pro-Preview,3,0.014078252429760286,6.954019437950597
Gemini_3-Pro-Preview,3,0.015252442072497274,6.950772071992562
Kimi-K2.5,3,0.0073329285283104005,6.954358076436547
Kimi-K2.6,3,0.007404384618895299,6.957832789768147
MiniMax-M2.7,3,0.00591921763942338,6.973601612979214
Qwen3-235B-A22B,3,0.015534290890181634,6.989094598059765
Qwen3.5-122B-A10B,3,0.021659962856417046,6.9925854397410365
Qwen3.5-397B-A17B,3,0.008355860885161603,6.971097339704235
glm-4.7,3,0.005842889760492564,6.96715347098559
glm-5.1,3,0.010707873236563747,6.945940874398753
