subset,metric,top1_accuracy,mean_margin,n
all,z_euclidean,0.996875,0.3370015188592795,320
all,cosine,0.996875,0.17114937765691554,320
all,mahalanobis,0.984375,0.24717747826287922,320
likert_only,z_euclidean,1.0,0.40654435349773144,320
likert_only,cosine,0.99375,0.21461103388439828,320
likert_only,mahalanobis,0.965625,0.31990466731763817,320
binary_only,z_euclidean,0.91875,0.24100917781828546,320
binary_only,cosine,0.903125,0.10313438113864844,320
binary_only,mahalanobis,0.8875,0.2389882727941038,320
ipip_only,z_euclidean,0.996875,0.4839394238451858,320
ipip_only,cosine,0.9875,0.24302870916623256,320
ipip_only,mahalanobis,0.98125,0.40915607401106324,320
