model,scale,domain,pir,fwd_raw_mean,rev_raw_mean,fwd_scored_mean,rev_scored_mean,n_fwd,n_rev
Claude-Opus-4.6,EPQR-A,Extraversion,0.4444444444444444,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.6666666666666666,3,3
Claude-Opus-4.6,EPQR-A,Lie,0.0,0.1,1.0,0.1,0.0,4,2
Claude-Opus-4.6,IPIP-NEO-120,Agreeableness,0.24369747899159663,3.9714285714285715,1.411764705882353,3.9714285714285715,4.588235294117647,7,17
Claude-Opus-4.6,IPIP-NEO-120,Conscientiousness,0.0,4.0588235294117645,1.342857142857143,4.0588235294117645,4.6571428571428575,17,7
Claude-Opus-4.6,IPIP-NEO-120,Extraversion,0.7301587301587301,3.238095238095238,3.0,3.238095238095238,3.0,21,3
Claude-Opus-4.6,IPIP-NEO-120,Neuroticism,0.0,1.1789473684210525,4.16,1.1789473684210525,1.8399999999999999,19,5
Claude-Opus-4.6,IPIP-NEO-120,Openness,0.5333333333333333,3.5333333333333337,2.066666666666667,3.5333333333333337,3.933333333333333,15,9
Claude-Opus-4.6,SD3,Narcissism,0.6666666666666666,2.3666666666666667,2.4,2.3666666666666667,3.6,6,3
Claude-Opus-4.6,SD3,Psychopathy,0.0,1.0,4.5,1.0,1.5,7,2
Claude-Opus-4.6,ZKPQ-50-CC,Activity,0.5,0.5,0.5,0.5,0.5,8,2
Claude-Opus-4.6,ZKPQ-50-CC,Aggression-Hostility,0.5238095238095238,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.3333333333333333,7,3
Claude-Opus-4.6,ZKPQ-50-CC,Neuroticism-Anxiety,0.4444444444444444,0.6,1.0,0.6,0.0,9,1
Claude-Opus-4.6,ZKPQ-50-CC,Sociability,0.041666666666666664,0.5,0.7000000000000001,0.5,0.3,4,6
Claude-Sonnet-4.6,EPQR-A,Extraversion,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,3,3
Claude-Sonnet-4.6,EPQR-A,Lie,0.0,0.0,0.8,0.0,0.2,4,2
Claude-Sonnet-4.6,IPIP-NEO-120,Agreeableness,0.5966386554621849,3.4,1.6470588235294117,3.4,4.352941176470588,7,17
Claude-Sonnet-4.6,IPIP-NEO-120,Conscientiousness,0.29411764705882354,3.6470588235294117,1.742857142857143,3.6470588235294117,4.257142857142857,17,7
Claude-Sonnet-4.6,IPIP-NEO-120,Extraversion,0.9682539682539683,2.5523809523809526,2.6666666666666665,2.5523809523809526,3.3333333333333335,21,3
Claude-Sonnet-4.6,IPIP-NEO-120,Neuroticism,1.0,1.8105263157894735,2.56,1.8105263157894735,3.44,19,5
Claude-Sonnet-4.6,IPIP-NEO-120,Openness,0.6370370370370371,3.2,1.8444444444444446,3.2,4.155555555555555,15,9
Claude-Sonnet-4.6,SD3,Narcissism,1.0,2.033333333333333,1.6666666666666667,2.033333333333333,4.333333333333333,6,3
Claude-Sonnet-4.6,SD3,Psychopathy,0.5,1.3571428571428572,4.0,1.3571428571428572,2.0,7,2
Claude-Sonnet-4.6,ZKPQ-50-CC,Activity,0.0,0.025,0.9,0.025,0.1,8,2
Claude-Sonnet-4.6,ZKPQ-50-CC,Aggression-Hostility,0.5714285714285714,0.14285714285714285,0.13333333333333333,0.14285714285714285,0.8666666666666667,7,3
Claude-Sonnet-4.6,ZKPQ-50-CC,Neuroticism-Anxiety,0.0,0.6444444444444445,0.4,0.6444444444444445,0.6,9,1
Claude-Sonnet-4.6,ZKPQ-50-CC,Sociability,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,4,6
DeepSeek-V3.2,EPQR-A,Extraversion,1.0,0.0,0.0,0.0,1.0,3,3
DeepSeek-V3.2,EPQR-A,Lie,0.5,0.0,0.3,0.0,0.7,4,2
DeepSeek-V3.2,IPIP-NEO-120,Agreeableness,0.4117647058823529,4.028571428571428,2.3411764705882354,4.028571428571428,3.6588235294117646,7,17
DeepSeek-V3.2,IPIP-NEO-120,Conscientiousness,0.2857142857142857,3.894117647058824,2.4857142857142853,3.894117647058824,3.5142857142857147,17,7
DeepSeek-V3.2,IPIP-NEO-120,Extraversion,0.9047619047619048,3.580952380952381,3.7999999999999994,3.580952380952381,2.2,21,3
DeepSeek-V3.2,IPIP-NEO-120,Neuroticism,0.7684210526315789,3.2736842105263158,3.3199999999999994,3.2736842105263158,2.68,19,5
DeepSeek-V3.2,IPIP-NEO-120,Openness,0.5555555555555556,4.2266666666666675,3.0444444444444443,4.2266666666666675,2.9555555555555557,15,9
DeepSeek-V3.2,SD3,Narcissism,0.6666666666666666,3.3000000000000003,3.733333333333333,3.3000000000000003,2.266666666666666,6,3
DeepSeek-V3.2,SD3,Psychopathy,0.42857142857142855,2.657142857142857,3.9000000000000004,2.657142857142857,2.1,7,2
DeepSeek-V3.2,ZKPQ-50-CC,Activity,0.125,0.575,1.0,0.575,0.0,8,2
DeepSeek-V3.2,ZKPQ-50-CC,Aggression-Hostility,0.2857142857142857,0.17142857142857143,0.3333333333333333,0.17142857142857143,0.6666666666666666,7,3
DeepSeek-V3.2,ZKPQ-50-CC,Neuroticism-Anxiety,0.0,0.8,0.2,0.8,0.8,9,1
DeepSeek-V3.2,ZKPQ-50-CC,Sociability,0.25,0.39999999999999997,1.0,0.39999999999999997,0.0,4,6
DeepSeek-V4-Flash,EPQR-A,Extraversion,0.4444444444444444,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.8666666666666667,3,3
DeepSeek-V4-Flash,EPQR-A,Lie,0.5,0.0,0.5,0.0,0.5,4,2
DeepSeek-V4-Flash,IPIP-NEO-120,Agreeableness,0.2689075630252101,4.228571428571429,2.0470588235294116,4.228571428571429,3.9529411764705884,7,17
DeepSeek-V4-Flash,IPIP-NEO-120,Conscientiousness,0.14285714285714285,4.811764705882353,2.0,4.811764705882353,4.0,17,7
DeepSeek-V4-Flash,IPIP-NEO-120,Extraversion,0.6666666666666666,3.961904761904761,3.0,3.961904761904761,3.0,21,3
DeepSeek-V4-Flash,IPIP-NEO-120,Neuroticism,0.5052631578947369,2.9473684210526314,3.999999999999999,2.9473684210526314,2.0,19,5
DeepSeek-V4-Flash,IPIP-NEO-120,Openness,0.2222222222222222,4.866666666666666,2.4444444444444446,4.866666666666666,3.5555555555555554,15,9
DeepSeek-V4-Flash,SD3,Narcissism,0.5555555555555556,3.133333333333333,3.466666666666667,3.133333333333333,2.533333333333333,6,3
DeepSeek-V4-Flash,SD3,Psychopathy,0.0,1.7142857142857142,5.0,1.7142857142857142,1.0,7,2
DeepSeek-V4-Flash,ZKPQ-50-CC,Activity,0.5,0.675,1.0,0.675,0.0,8,2
DeepSeek-V4-Flash,ZKPQ-50-CC,Aggression-Hostility,0.5238095238095238,0.19999999999999998,0.3333333333333333,0.19999999999999998,0.6666666666666666,7,3
DeepSeek-V4-Flash,ZKPQ-50-CC,Neuroticism-Anxiety,0.5555555555555556,0.7111111111111111,1.0,0.7111111111111111,0.0,9,1
DeepSeek-V4-Flash,ZKPQ-50-CC,Sociability,0.25,0.6000000000000001,0.9666666666666667,0.6000000000000001,0.03333333333333333,4,6
DeepSeek-V4-Pro,EPQR-A,Extraversion,0.6666666666666666,0.0,0.06666666666666667,0.0,0.9333333333333332,3,3
DeepSeek-V4-Pro,EPQR-A,Lie,0.5,0.0,0.5,0.0,0.5,4,2
DeepSeek-V4-Pro,IPIP-NEO-120,Agreeableness,0.226890756302521,3.914285714285714,1.9882352941176469,3.914285714285714,4.011764705882354,7,17
DeepSeek-V4-Pro,IPIP-NEO-120,Conscientiousness,0.31932773109243695,4.0470588235294125,2.2285714285714286,4.0470588235294125,3.7714285714285714,17,7
DeepSeek-V4-Pro,IPIP-NEO-120,Extraversion,0.5555555555555556,3.304761904761905,3.266666666666667,3.304761904761905,2.733333333333333,21,3
DeepSeek-V4-Pro,IPIP-NEO-120,Neuroticism,0.42105263157894735,2.7789473684210524,3.7600000000000002,2.7789473684210524,2.2399999999999998,19,5
DeepSeek-V4-Pro,IPIP-NEO-120,Openness,0.45925925925925926,4.1866666666666665,2.8444444444444446,4.1866666666666665,3.1555555555555554,15,9
DeepSeek-V4-Pro,SD3,Narcissism,0.6666666666666666,2.433333333333333,2.8000000000000003,2.433333333333333,3.1999999999999997,6,3
DeepSeek-V4-Pro,SD3,Psychopathy,0.0,1.7142857142857142,3.9,1.7142857142857142,2.1,7,2
DeepSeek-V4-Pro,ZKPQ-50-CC,Activity,0.0,0.5,1.0,0.5,0.0,8,2
DeepSeek-V4-Pro,ZKPQ-50-CC,Aggression-Hostility,0.38095238095238093,0.19999999999999998,0.3333333333333333,0.19999999999999998,0.6666666666666666,7,3
DeepSeek-V4-Pro,ZKPQ-50-CC,Neuroticism-Anxiety,0.6666666666666666,0.8222222222222223,1.0,0.8222222222222223,0.0,9,1
DeepSeek-V4-Pro,ZKPQ-50-CC,Sociability,0.041666666666666664,0.35,0.9666666666666667,0.35,0.03333333333333333,4,6
GLM-4.6V,EPQR-A,Extraversion,0.0,0.7333333333333334,0.0,0.7333333333333334,1.0,3,3
GLM-4.6V,EPQR-A,Lie,0.75,0.05,0.0,0.05,1.0,4,2
GLM-4.6V,IPIP-NEO-120,Agreeableness,0.23529411764705882,3.942857142857143,1.6941176470588235,3.942857142857143,4.305882352941176,7,17
GLM-4.6V,IPIP-NEO-120,Conscientiousness,0.23529411764705882,4.0588235294117645,2.0571428571428574,4.0588235294117645,3.9428571428571426,17,7
GLM-4.6V,IPIP-NEO-120,Extraversion,0.6825396825396826,3.0095238095238095,3.0,3.0095238095238095,3.0,21,3
GLM-4.6V,IPIP-NEO-120,Neuroticism,0.42105263157894735,1.8631578947368417,3.4800000000000004,1.8631578947368417,2.5199999999999996,19,5
GLM-4.6V,IPIP-NEO-120,Openness,0.6,3.7199999999999998,2.755555555555556,3.7199999999999998,3.2444444444444445,15,9
GLM-4.6V,SD3,Narcissism,0.5,2.5666666666666664,2.733333333333334,2.5666666666666664,3.266666666666667,6,3
GLM-4.6V,SD3,Psychopathy,0.14285714285714285,1.8571428571428572,4.5,1.8571428571428572,1.5,7,2
GLM-4.6V,ZKPQ-50-CC,Activity,0.125,0.1,0.6,0.1,0.4,8,2
GLM-4.6V,ZKPQ-50-CC,Aggression-Hostility,0.6190476190476191,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.6666666666666666,7,3
GLM-4.6V,ZKPQ-50-CC,Neuroticism-Anxiety,0.0,0.022222222222222223,0.6,0.022222222222222223,0.4,9,1
GLM-4.6V,ZKPQ-50-CC,Sociability,0.3333333333333333,0.05,0.3333333333333333,0.05,0.6666666666666666,4,6
GPT-5.5,EPQR-A,Extraversion,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,3,3
GPT-5.5,EPQR-A,Lie,1.0,0.0,0.0,0.0,1.0,4,2
GPT-5.5,IPIP-NEO-120,Agreeableness,0.3697478991596639,3.8,1.5999999999999999,3.8,4.3999999999999995,7,17
GPT-5.5,IPIP-NEO-120,Conscientiousness,0.19327731092436976,3.9529411764705884,1.942857142857143,3.9529411764705884,4.057142857142857,17,7
GPT-5.5,IPIP-NEO-120,Extraversion,0.9206349206349206,2.8666666666666663,2.6666666666666665,2.8666666666666663,3.3333333333333335,21,3
GPT-5.5,IPIP-NEO-120,Neuroticism,0.4631578947368421,1.5894736842105261,3.88,1.5894736842105261,2.12,19,5
GPT-5.5,IPIP-NEO-120,Openness,0.8666666666666667,3.1199999999999997,2.933333333333333,3.1199999999999997,3.066666666666667,15,9
GPT-5.5,SD3,Narcissism,1.0,2.566666666666667,1.866666666666667,2.566666666666667,4.133333333333333,6,3
GPT-5.5,SD3,Psychopathy,0.14285714285714285,1.457142857142857,4.5,1.457142857142857,1.5,7,2
GPT-5.5,ZKPQ-50-CC,Activity,0.4375,0.075,0.5,0.075,0.5,8,2
GPT-5.5,ZKPQ-50-CC,Aggression-Hostility,0.3333333333333333,0.0,0.39999999999999997,0.0,0.6,7,3
GPT-5.5,ZKPQ-50-CC,Neuroticism-Anxiety,0.0,0.0,1.0,0.0,0.0,9,1
GPT-5.5,ZKPQ-50-CC,Sociability,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,4,6
GPT_5.2,EPQR-A,Extraversion,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,3,3
GPT_5.2,EPQR-A,Lie,1.0,0.0,0.0,0.0,1.0,4,2
GPT_5.2,IPIP-NEO-120,Agreeableness,0.5966386554621849,3.5428571428571423,1.9529411764705884,3.5428571428571423,4.0470588235294125,7,17
GPT_5.2,IPIP-NEO-120,Conscientiousness,0.6218487394957983,3.4823529411764707,2.2857142857142856,3.4823529411764707,3.7142857142857144,17,7
GPT_5.2,IPIP-NEO-120,Extraversion,0.8888888888888888,3.1714285714285713,2.6666666666666665,3.1714285714285713,3.3333333333333335,21,3
GPT_5.2,IPIP-NEO-120,Neuroticism,1.0,3.0105263157894737,3.0,3.0105263157894737,3.0,19,5
GPT_5.2,IPIP-NEO-120,Openness,0.8962962962962963,3.453333333333333,2.822222222222222,3.453333333333333,3.177777777777778,15,9
GPT_5.2,SD3,Narcissism,1.0,2.733333333333333,3.0,2.733333333333333,3.0,6,3
GPT_5.2,SD3,Psychopathy,0.7857142857142857,2.257142857142857,3.2,2.257142857142857,2.8,7,2
GPT_5.2,ZKPQ-50-CC,Activity,1.0,0.0,0.0,0.0,1.0,8,2
GPT_5.2,ZKPQ-50-CC,Aggression-Hostility,1.0,0.0,0.0,0.0,1.0,7,3
GPT_5.2,ZKPQ-50-CC,Neuroticism-Anxiety,1.0,0.0,0.0,0.0,1.0,9,1
GPT_5.2,ZKPQ-50-CC,Sociability,1.0,0.0,0.0,0.0,1.0,4,6
Gemini-3-Flash-Preview,EPQR-A,Extraversion,0.1111111111111111,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.46666666666666673,3,3
Gemini-3-Flash-Preview,EPQR-A,Lie,0.75,0.05,0.0,0.05,1.0,4,2
