model,safety_mean,neutral_mean,safety_var,neutral_var,suppression
Claude-Opus-4.6,2.82,2.5708029197080293,1.924,1.923258909403173,-0.24919708029197052
Claude-Sonnet-4.6,2.7,2.386764705882353,1.1222222222222222,1.0827864923747272,-0.3132352941176473
DeepSeek-V3.2,3.2800000000000002,3.3445255474452558,1.2373333333333332,0.7063117217689997,0.06452554744525552
DeepSeek-V4-Flash,3.4200000000000004,3.3985401459854017,1.8795555555555556,1.9679390296264496,-0.02145985401459871
DeepSeek-V4-Pro,3.28,3.0613138686131385,1.1751111111111108,1.0826835551738943,-0.21868613138686133
GLM-4.6V,3.16,2.8145985401459854,1.633777777777778,1.3533147273507935,-0.3454014598540147
GPT-5.5,3.16,2.586861313868613,2.1404444444444444,1.372473164448262,-0.573138686131387
GPT_5.2,2.96,2.9065693430656934,1.2426666666666664,0.6953241734650062,-0.0534306569343066
Gemini-3-Flash-Preview,3.796666666666667,2.711922141119221,1.0564074074074072,1.3638028958542057,-1.0847445255474457
Gemini-3.1-Flash-Lite,3.1,3.1418491484184914,1.2111111111111112,0.9416998234817056,0.0418491484184913
Gemini-3.1-Pro-Preview,3.02,2.478832116788321,2.4484444444444446,2.7143280377844614,-0.5411678832116791
Gemini_3-Pro-Preview,3.04,2.5036496350364965,2.4960000000000004,2.769471876341778,-0.5363503649635035
Kimi-K2.5,2.88,2.302189781021898,1.904,1.524186346071275,-0.5778102189781018
Kimi-K2.6,2.9,2.216058394160584,2.0555555555555554,1.5212108200944583,-0.6839416058394159
MiniMax-M2.7,3.1399999999999997,2.8423357664233575,1.4048888888888889,1.4055474452554744,-0.2976642335766422
Qwen3-235B-A22B,3.3,3.1664233576642333,2.9000000000000004,1.864452554744525,-0.1335766423357665
Qwen3.5-122B-A10B,2.8200000000000003,2.2861313868613133,2.9551111111111106,2.2998797767282073,-0.5338686131386869
Qwen3.5-397B-A17B,2.8000000000000003,2.461313868613139,2.0000000000000004,2.3350364963503667,-0.33868613138686143
glm-4.7,3.0599999999999996,2.386861313868613,2.4893333333333336,2.094826105624733,-0.6731386861313866
glm-5.1,2.94,2.383941605839416,2.489333333333333,2.462387290682696,-0.5560583941605839
