model,IPIP-NEO-120_Fwd,IPIP-NEO-120_Rev,IPIP-NEO-120_Δ,SD3_Fwd,SD3_Rev,SD3_Δ,ZKPQ-50-CC_Fwd,ZKPQ-50-CC_Rev,ZKPQ-50-CC_Δ,EPQR-A_Fwd,EPQR-A_Rev,EPQR-A_Δ,Overall_Fwd,Overall_Rev,Overall_Δ
Claude-Opus-4.6,0.6708860759493671,0.2926829268292683,0.37820314912009884,0.22727272727272727,0.6,-0.3727272727272727,0.4473684210526316,0.6666666666666666,-0.21929824561403505,0.05263157894736842,0.6,-0.5473684210526315,0.4810126582278481,0.4126984126984127,0.06831424552943544
Claude-Sonnet-4.6,0.5822784810126582,0.17073170731707318,0.411546773695585,0.22727272727272727,0.6,-0.3727272727272727,0.13157894736842105,0.4166666666666667,-0.2850877192982456,0.05263157894736842,0.4,-0.3473684210526316,0.36075949367088606,0.2698412698412698,0.09091822382961623
DeepSeek-V3.2,0.9240506329113924,0.4878048780487805,0.43624575486261197,0.5454545454545454,1.0,-0.4545454545454546,0.23684210526315788,0.75,-0.5131578947368421,0.0,0.0,0.0,0.5949367088607594,0.5396825396825397,0.05525416917821979
DeepSeek-V4-Flash,0.7974683544303798,0.2926829268292683,0.5047854276011114,0.3181818181818182,0.8,-0.48181818181818187,0.47368421052631576,0.75,-0.27631578947368424,0.15789473684210525,0.2,-0.04210526315789476,0.5759493670886076,0.4126984126984127,0.16325095439019488
DeepSeek-V4-Pro,0.7215189873417721,0.34146341463414637,0.38005557270762574,0.22727272727272727,0.8,-0.5727272727272728,0.2631578947368421,0.75,-0.4868421052631579,0.05263157894736842,0.2,-0.1473684210526316,0.4620253164556962,0.4444444444444444,0.017580872011251802
GLM-4.6V,0.6075949367088608,0.34146341463414637,0.2661315220747144,0.4090909090909091,0.8,-0.39090909090909093,0.02631578947368421,0.16666666666666666,-0.14035087719298245,0.05263157894736842,0.0,0.05263157894736842,0.37341772151898733,0.31746031746031744,0.05595740405866989
GPT-5.5,0.620253164556962,0.4146341463414634,0.2056190182154986,0.3181818181818182,0.6,-0.2818181818181818,0.0,0.4166666666666667,-0.4166666666666667,0.05263157894736842,0.0,0.05263157894736842,0.36075949367088606,0.3968253968253968,-0.03606590315451075
GPT_5.2,0.9367088607594937,0.5121951219512195,0.42451373880827414,0.5454545454545454,1.0,-0.4545454545454546,0.0,0.0,0.0,0.10526315789473684,0.0,0.10526315789473684,0.5569620253164557,0.4126984126984127,0.144263612618043
Gemini-3-Flash-Preview,0.6708860759493671,0.5121951219512195,0.1586909539981476,0.36363636363636365,0.6,-0.23636363636363633,0.0,0.3333333333333333,-0.3333333333333333,0.05263157894736842,0.0,0.05263157894736842,0.3924050632911392,0.4444444444444444,-0.0520393811533052
Gemini-3.1-Flash-Lite,0.9746835443037974,0.6829268292682927,0.2917567150355047,0.8181818181818182,1.0,-0.18181818181818177,0.0,0.08333333333333333,-0.08333333333333333,0.10526315789473684,0.4,-0.2947368421052632,0.6139240506329114,0.5714285714285714,0.04249547920434005
