scale,domain,mean_sd,mean_mode_agree,exact_agree_rate,n_items
EPQR-A,Extraversion,0.0141,0.9906,0.9681,2040
ZKPQ-50-CC,Sociability,0.0197,0.9875,0.9547,3400
EPQR-A,Psychoticism,0.0235,0.985,0.9461,2040
ZKPQ-50-CC,Impulsive_Sensation_Seeking,0.0299,0.9806,0.9318,3400
EPQR-A,Neuroticism,0.0302,0.9805,0.9309,2040
ZKPQ-50-CC,Activity,0.0413,0.9729,0.9062,3400
ZKPQ-50-CC,Neuroticism-Anxiety,0.0444,0.9714,0.8982,3400
ZKPQ-50-CC,Aggression-Hostility,0.0477,0.9689,0.8912,3400
EPQR-A,Lie,0.0583,0.962,0.8672,2040
IPIP-NEO-120,Extraversion,0.1242,0.9243,0.7499,8160
IPIP-NEO-120,Agreeableness,0.1252,0.9263,0.7547,8160
IPIP-NEO-120,Conscientiousness,0.127,0.9231,0.7463,8160
IPIP-NEO-120,Openness,0.1364,0.9194,0.731,8160
SD3,Psychopathy,0.1472,0.9153,0.7278,3060
IPIP-NEO-120,Neuroticism,0.1633,0.9067,0.6911,8160
SD3,Narcissism,0.1663,0.9052,0.6866,3060
SD3,Machiavellianism,0.1874,0.8976,0.6683,3060
