persona,mean_sd,mean_mode_agree,exact_agree_rate,mean_range
ISFJ,0.0808,0.9502,0.8294,0.1862
ESFJ,0.0856,0.9478,0.8258,0.1982
ENFP,0.0893,0.9462,0.8192,0.21
ISTJ,0.0899,0.9448,0.8165,0.2079
INFJ,0.0908,0.9448,0.8138,0.212
ENFJ,0.0925,0.9439,0.8127,0.2154
INFP,0.0964,0.9416,0.8048,0.2253
ESFP,0.0991,0.9417,0.8041,0.2326
ESTJ,0.1007,0.9406,0.8032,0.2353
INTP,0.1038,0.9343,0.7774,0.2407
ENTJ,0.1042,0.941,0.8023,0.2432
ESTP,0.105,0.9378,0.7898,0.245
ISFP,0.1076,0.9316,0.7762,0.2489
INTJ,0.1099,0.9373,0.7876,0.2575
ENTP,0.1158,0.9323,0.7704,0.2708
ISTP,0.1181,0.9258,0.7529,0.2729
Default,0.2045,0.8952,0.6747,0.4867
