model_name,api_kind,persona,scale,domain,n_items,mean_score,std_score,min_score,max_score,completion_status
Claude-Opus-4.6,anthropic,Default,EPQR-A,Psychoticism,30,0.1667,0.3727,0,1,complete
Claude-Opus-4.6,anthropic,Default,EPQR-A,Extraversion,30,0.4667,0.4989,0,1,complete
Claude-Opus-4.6,anthropic,Default,EPQR-A,Neuroticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,Default,EPQR-A,Lie,30,0.0667,0.2494,0,1,complete
Claude-Opus-4.6,anthropic,Default,IPIP-NEO-120,Neuroticism,120,1.3167,0.5161,1,4,complete
Claude-Opus-4.6,anthropic,Default,IPIP-NEO-120,Extraversion,120,3.2083,0.9565,1,4,complete
Claude-Opus-4.6,anthropic,Default,IPIP-NEO-120,Openness,120,3.6833,1.1546,1,5,complete
Claude-Opus-4.6,anthropic,Default,IPIP-NEO-120,Agreeableness,120,4.4083,0.8215,2,5,complete
Claude-Opus-4.6,anthropic,Default,IPIP-NEO-120,Conscientiousness,120,4.2333,0.4422,3,5,complete
Claude-Opus-4.6,anthropic,Default,SD3,Machiavellianism,45,2.3333,1.2472,1,4,complete
Claude-Opus-4.6,anthropic,Default,SD3,Narcissism,45,2.7778,1.1717,1,5,complete
Claude-Opus-4.6,anthropic,Default,SD3,Psychopathy,45,1.1111,0.3143,1,2,complete
Claude-Opus-4.6,anthropic,Default,ZKPQ-50-CC,Activity,50,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,Default,ZKPQ-50-CC,Aggression-Hostility,50,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,Default,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.54,0.4984,0,1,complete
Claude-Opus-4.6,anthropic,Default,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.54,0.4984,0,1,complete
Claude-Opus-4.6,anthropic,Default,ZKPQ-50-CC,Sociability,50,0.38,0.4854,0,1,complete
Claude-Opus-4.6,anthropic,ISTJ,EPQR-A,Psychoticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISTJ,EPQR-A,Extraversion,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISTJ,EPQR-A,Neuroticism,30,0.3333,0.4714,0,1,complete
Claude-Opus-4.6,anthropic,ISTJ,EPQR-A,Lie,30,0.7667,0.423,0,1,complete
Claude-Opus-4.6,anthropic,ISTJ,IPIP-NEO-120,Neuroticism,120,2.15,0.9188,1,4,complete
Claude-Opus-4.6,anthropic,ISTJ,IPIP-NEO-120,Extraversion,120,2.3917,0.9336,1,4,complete
Claude-Opus-4.6,anthropic,ISTJ,IPIP-NEO-120,Openness,120,2.2,0.7483,1,4,complete
Claude-Opus-4.6,anthropic,ISTJ,IPIP-NEO-120,Agreeableness,120,3.7,0.9274,2,5,complete
Claude-Opus-4.6,anthropic,ISTJ,IPIP-NEO-120,Conscientiousness,120,4.7917,0.4983,3,5,complete
Claude-Opus-4.6,anthropic,ISTJ,SD3,Machiavellianism,45,2.6667,0.9428,1,4,complete
Claude-Opus-4.6,anthropic,ISTJ,SD3,Narcissism,45,2.2222,0.6285,1,3,complete
Claude-Opus-4.6,anthropic,ISTJ,SD3,Psychopathy,45,1.4444,0.4969,1,2,complete
Claude-Opus-4.6,anthropic,ISTJ,ZKPQ-50-CC,Activity,50,0.9,0.3,0,1,complete
Claude-Opus-4.6,anthropic,ISTJ,ZKPQ-50-CC,Aggression-Hostility,50,0.12,0.325,0,1,complete
Claude-Opus-4.6,anthropic,ISTJ,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISTJ,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.2,0.4,0,1,complete
Claude-Opus-4.6,anthropic,ISTJ,ZKPQ-50-CC,Sociability,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISFJ,EPQR-A,Psychoticism,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISFJ,EPQR-A,Extraversion,30,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISFJ,EPQR-A,Neuroticism,30,1.0,0.0,1,1,complete
Claude-Opus-4.6,anthropic,ISFJ,EPQR-A,Lie,30,0.5,0.5,0,1,complete
Claude-Opus-4.6,anthropic,ISFJ,IPIP-NEO-120,Neuroticism,120,2.8417,0.9398,2,4,complete
Claude-Opus-4.6,anthropic,ISFJ,IPIP-NEO-120,Extraversion,120,2.4667,0.7846,1,4,complete
Claude-Opus-4.6,anthropic,ISFJ,IPIP-NEO-120,Openness,120,2.8833,1.0015,1,5,complete
Claude-Opus-4.6,anthropic,ISFJ,IPIP-NEO-120,Agreeableness,120,4.5833,0.6401,3,5,complete
Claude-Opus-4.6,anthropic,ISFJ,IPIP-NEO-120,Conscientiousness,120,4.5917,0.57,3,5,complete
Claude-Opus-4.6,anthropic,ISFJ,SD3,Machiavellianism,45,2.5556,1.2571,1,4,complete
Claude-Opus-4.6,anthropic,ISFJ,SD3,Narcissism,45,2.0,0.0,2,2,complete
Claude-Opus-4.6,anthropic,ISFJ,SD3,Psychopathy,45,1.2222,0.4157,1,2,complete
Claude-Opus-4.6,anthropic,ISFJ,ZKPQ-50-CC,Activity,50,0.64,0.48,0,1,complete
Claude-Opus-4.6,anthropic,ISFJ,ZKPQ-50-CC,Aggression-Hostility,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISFJ,ZKPQ-50-CC,Impulsive_Sensation_Seeking,50,0.0,0.0,0,0,complete
Claude-Opus-4.6,anthropic,ISFJ,ZKPQ-50-CC,Neuroticism-Anxiety,50,0.9,0.3,0,1,complete
